"Tabela 10062 - Número médio de anos de estudo das pessoas com 11 anos ou mais de idade, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Número médio de anos de estudo das pessoas de 11 anos ou mais de idade (Anos)"
"Município";"Cor ou raça";"Ano x Grupo de idade x Sexo"
"Município";"Cor ou raça";"2022"
"Município";"Cor ou raça";"Total";;;"25 anos ou mais"
"Município";"Cor ou raça";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Cabreúva (SP)";"Total";"9,7";"9,6";"9,8";"9,7";"9,6";"9,7"
"Caçapava (SP)";"Total";"10,3";"10,4";"10,3";"10,5";"10,6";"10,4"
"Cachoeira Paulista (SP)";"Total";"10,3";"10,2";"10,3";"10,4";"10,3";"10,4"
"Caconde (SP)";"Total";"9,0";"8,7";"9,3";"8,8";"8,4";"9,1"
"Cafelândia (SP)";"Total";"9,2";"8,9";"9,4";"9,1";"8,9";"9,3"
"Caiabu (SP)";"Total";"9,0";"8,8";"9,1";"8,8";"8,6";"8,9"
"Caieiras (SP)";"Total";"10,3";"10,3";"10,3";"10,4";"10,5";"10,3"
"Caiuá (SP)";"Total";"8,9";"8,8";"9,1";"8,7";"8,5";"8,9"
"Cajamar (SP)";"Total";"10,6";"10,5";"10,6";"10,8";"10,7";"10,8"
"Cajati (SP)";"Total";"8,4";"8,4";"8,3";"8,1";"8,2";"8,1"
"Cajobi (SP)";"Total";"9,1";"8,9";"9,2";"8,8";"8,6";"9,0"
"Cajuru (SP)";"Total";"9,3";"9,2";"9,4";"9,2";"9,1";"9,3"
"Campina do Monte Alegre (SP)";"Total";"9,1";"8,9";"9,2";"8,9";"8,8";"9,0"
"Campinas (SP)";"Total";"11,0";"10,9";"11,0";"11,2";"11,2";"11,2"
"Campo Limpo Paulista (SP)";"Total";"9,9";"10,0";"9,9";"10,0";"10,1";"9,9"
"Campos do Jordão (SP)";"Total";"9,5";"9,3";"9,7";"9,5";"9,3";"9,7"
"Campos Novos Paulista (SP)";"Total";"8,9";"8,7";"9,1";"8,7";"8,4";"8,9"
"Cananéia (SP)";"Total";"9,4";"9,2";"9,6";"9,4";"9,2";"9,5"
"Canas (SP)";"Total";"9,6";"9,4";"9,9";"9,7";"9,5";"9,9"
"Cândido Mota (SP)";"Total";"9,4";"9,2";"9,5";"9,3";"9,1";"9,4"
"Cândido Rodrigues (SP)";"Total";"9,4";"9,6";"9,3";"9,3";"9,4";"9,1"
"Canitar (SP)";"Total";"9,2";"9,3";"9,1";"8,9";"9,1";"8,7"
"Capão Bonito (SP)";"Total";"8,9";"8,9";"9,0";"8,8";"8,7";"8,8"
"Capela do Alto (SP)";"Total";"8,2";"8,1";"8,4";"8,0";"7,9";"8,1"
"Capivari (SP)";"Total";"8,9";"8,9";"8,9";"9,0";"9,0";"9,0"
"Caraguatatuba (SP)";"Total";"10,5";"10,2";"10,7";"10,7";"10,5";"10,9"
"Carapicuíba (SP)";"Total";"10,0";"9,9";"10,0";"10,0";"10,0";"10,1"
"Cardoso (SP)";"Total";"8,8";"8,6";"8,9";"8,6";"8,5";"8,7"
"Casa Branca (SP)";"Total";"10,0";"9,7";"10,4";"10,2";"9,8";"10,7"
"Cássia dos Coqueiros (SP)";"Total";"9,2";"8,8";"9,6";"9,0";"8,5";"9,5"
"Castilho (SP)";"Total";"9,1";"8,9";"9,4";"9,1";"8,8";"9,4"
"Catanduva (SP)";"Total";"10,4";"10,4";"10,4";"10,5";"10,6";"10,5"
"Catiguá (SP)";"Total";"9,1";"9,1";"9,1";"8,9";"9,0";"8,9"
"Cedral (SP)";"Total";"9,9";"9,8";"10,0";"10,0";"9,9";"10,1"
"Cerqueira César (SP)";"Total";"9,1";"8,9";"9,4";"9,0";"8,8";"9,3"
"Cerquilho (SP)";"Total";"10,3";"10,3";"10,3";"10,4";"10,4";"10,4"
"Cesário Lange (SP)";"Total";"9,0";"8,9";"9,1";"8,9";"8,7";"9,0"
"Charqueada (SP)";"Total";"9,3";"9,1";"9,4";"9,3";"9,1";"9,4"
"Clementina (SP)";"Total";"9,3";"9,3";"9,3";"9,3";"9,4";"9,2"
"Colina (SP)";"Total";"9,4";"9,2";"9,6";"9,4";"9,2";"9,5"
"Colômbia (SP)";"Total";"8,2";"7,8";"8,5";"7,9";"7,5";"8,3"
"Conchal (SP)";"Total";"8,9";"8,7";"9,0";"8,6";"8,5";"8,7"
"Conchas (SP)";"Total";"9,2";"8,9";"9,4";"9,1";"8,8";"9,4"
"Cordeirópolis (SP)";"Total";"9,6";"9,4";"9,7";"9,5";"9,4";"9,6"
"Coroados (SP)";"Total";"9,1";"9,0";"9,2";"8,9";"8,7";"9,1"
"Coronel Macedo (SP)";"Total";"8,3";"8,3";"8,3";"8,0";"7,9";"8,0"
"Corumbataí (SP)";"Total";"9,5";"9,2";"9,7";"9,5";"9,2";"9,7"
"Cosmópolis (SP)";"Total";"9,9";"10,0";"9,9";"10,0";"10,1";"9,9"
"Cosmorama (SP)";"Total";"8,3";"8,0";"8,6";"8,1";"7,8";"8,4"
"Cotia (SP)";"Total";"10,8";"10,7";"10,9";"11,1";"11,1";"11,2"
"Cravinhos (SP)";"Total";"9,4";"9,2";"9,6";"9,4";"9,2";"9,6"
"Cristais Paulista (SP)";"Total";"9,2";"8,9";"9,6";"9,1";"8,7";"9,5"
"Cruzália (SP)";"Total";"9,3";"9,2";"9,4";"9,3";"9,2";"9,4"
"Cruzeiro (SP)";"Total";"10,6";"10,7";"10,5";"10,7";"10,9";"10,6"
"Cubatão (SP)";"Total";"9,8";"9,7";"9,8";"9,8";"9,8";"9,8"
"Cunha (SP)";"Total";"7,7";"7,3";"8,1";"7,2";"6,8";"7,7"
"Descalvado (SP)";"Total";"9,8";"9,7";"9,9";"9,8";"9,6";"9,9"
"Diadema (SP)";"Total";"10,3";"10,2";"10,3";"10,4";"10,4";"10,4"
"Dirce Reis (SP)";"Total";"8,9";"8,6";"9,2";"8,6";"8,3";"8,8"
"Divinolândia (SP)";"Total";"8,6";"8,0";"9,2";"8,3";"7,7";"9,0"
"Dobrada (SP)";"Total";"9,3";"9,2";"9,4";"9,1";"9,0";"9,2"
"Dois Córregos (SP)";"Total";"9,0";"9,0";"9,1";"8,8";"8,7";"8,9"
"Dolcinópolis (SP)";"Total";"8,8";"8,7";"8,8";"8,6";"8,5";"8,7"
"Dourado (SP)";"Total";"8,9";"8,9";"9,0";"8,7";"8,7";"8,8"
"Dracena (SP)";"Total";"10,3";"10,3";"10,3";"10,4";"10,4";"10,4"
"Duartina (SP)";"Total";"8,9";"8,9";"9,0";"8,7";"8,7";"8,8"
"Dumont (SP)";"Total";"9,1";"8,9";"9,4";"8,9";"8,7";"9,0"
"Echaporã (SP)";"Total";"9,2";"9,0";"9,4";"9,2";"9,0";"9,4"
"Eldorado (SP)";"Total";"8,8";"8,5";"9,1";"8,7";"8,3";"9,0"
"Elias Fausto (SP)";"Total";"9,0";"8,8";"9,2";"8,8";"8,6";"9,1"
"Elisiário (SP)";"Total";"9,3";"9,4";"9,1";"9,1";"9,2";"9,0"
"Embaúba (SP)";"Total";"8,9";"8,7";"9,1";"8,7";"8,5";"8,9"
"Embu das Artes (SP)";"Total";"9,7";"9,5";"9,8";"9,7";"9,6";"9,8"
"Embu-Guaçu (SP)";"Total";"9,8";"9,5";"10,1";"9,8";"9,4";"10,1"
"Emilianópolis (SP)";"Total";"9,1";"8,9";"9,3";"8,9";"8,8";"9,1"
"Engenheiro Coelho (SP)";"Total";"9,8";"9,6";"10,0";"9,6";"9,5";"9,8"
"Espírito Santo do Pinhal (SP)";"Total";"9,7";"9,8";"9,7";"9,8";"9,9";"9,7"
"Espírito Santo do Turvo (SP)";"Total";"8,0";"7,6";"8,4";"7,5";"7,1";"7,9"
"Estrela d'Oeste (SP)";"Total";"9,6";"9,4";"9,7";"9,5";"9,3";"9,6"
"Estrela do Norte (SP)";"Total";"9,3";"9,2";"9,5";"9,3";"8,9";"9,6"
"Euclides da Cunha Paulista (SP)";"Total";"8,4";"8,2";"8,7";"8,2";"7,8";"8,5"
"Fartura (SP)";"Total";"9,2";"9,0";"9,4";"9,0";"8,8";"9,2"
"Fernandópolis (SP)";"Total";"10,1";"10,0";"10,3";"10,1";"10,0";"10,3"
"Fernando Prestes (SP)";"Total";"9,3";"9,2";"9,4";"9,1";"9,0";"9,2"
"Fernão (SP)";"Total";"8,8";"8,6";"9,0";"8,6";"8,4";"8,7"
"Ferraz de Vasconcelos (SP)";"Total";"9,7";"9,6";"9,8";"9,8";"9,7";"9,8"
"Flora Rica (SP)";"Total";"9,3";"9,2";"9,4";"9,2";"9,1";"9,3"
"Floreal (SP)";"Total";"9,5";"9,6";"9,4";"9,4";"9,6";"9,2"
"Flórida Paulista (SP)";"Total";"8,9";"8,8";"9,1";"8,7";"8,6";"8,9"
"Florínea (SP)";"Total";"9,0";"8,6";"9,6";"8,8";"8,5";"9,4"
"Franca (SP)";"Total";"10,3";"10,3";"10,4";"10,4";"10,4";"10,5"
"Francisco Morato (SP)";"Total";"9,1";"8,9";"9,2";"8,9";"8,7";"9,1"
"Franco da Rocha (SP)";"Total";"9,8";"9,5";"10,0";"9,8";"9,6";"10,0"
"Gabriel Monteiro (SP)";"Total";"9,7";"9,6";"9,8";"9,6";"9,6";"9,7"
"Gália (SP)";"Total";"8,7";"8,5";"8,9";"8,5";"8,3";"8,6"
"Garça (SP)";"Total";"9,8";"9,7";"9,9";"9,8";"9,7";"9,9"
"Gastão Vidigal (SP)";"Total";"8,5";"8,3";"8,8";"8,2";"7,9";"8,5"
"Gavião Peixoto (SP)";"Total";"8,9";"8,8";"9,1";"8,7";"8,5";"8,8"
"General Salgado (SP)";"Total";"9,4";"9,3";"9,5";"9,2";"9,2";"9,3"
"Getulina (SP)";"Total";"9,2";"9,2";"9,1";"9,1";"9,2";"8,9"
"Glicério (SP)";"Total";"8,9";"8,6";"9,2";"8,7";"8,3";"9,0"
"Guaiçara (SP)";"Total";"9,2";"8,9";"9,5";"9,2";"8,8";"9,5"
"Guaimbê (SP)";"Total";"8,8";"8,6";"8,9";"8,6";"8,4";"8,7"
"Guaíra (SP)";"Total";"9,0";"8,8";"9,1";"8,9";"8,7";"9,0"
"Guapiaçu (SP)";"Total";"9,4";"9,3";"9,5";"9,3";"9,3";"9,4"
"Guapiara (SP)";"Total";"7,9";"7,9";"7,9";"7,4";"7,4";"7,4"
"Guará (SP)";"Total";"8,9";"9,0";"8,9";"8,7";"8,7";"8,7"
"Guaraçaí (SP)";"Total";"9,1";"8,9";"9,2";"8,9";"8,7";"9,0"
"Guaraci (SP)";"Total";"9,5";"9,2";"9,9";"9,5";"9,0";"9,9"
"Guarani d'Oeste (SP)";"Total";"8,6";"8,5";"8,8";"8,5";"8,3";"8,7"
"Guarantã (SP)";"Total";"9,0";"8,8";"9,1";"8,8";"8,6";"8,9"
"Guararapes (SP)";"Total";"9,7";"9,6";"9,7";"9,7";"9,6";"9,8"
"Guararema (SP)";"Total";"10,0";"9,8";"10,1";"10,0";"9,9";"10,1"
"Guaratinguetá (SP)";"Total";"10,6";"10,5";"10,7";"10,8";"10,7";"10,9"
"Guareí (SP)";"Total";"8,5";"8,3";"8,9";"8,3";"8,1";"8,7"
"Guariba (SP)";"Total";"9,0";"9,0";"9,0";"8,9";"8,9";"8,9"
"Guarujá (SP)";"Total";"9,9";"9,7";"10,0";"9,9";"9,8";"10,1"
"Guarulhos (SP)";"Total";"10,2";"10,1";"10,2";"10,3";"10,3";"10,4"
"Guatapará (SP)";"Total";"9,0";"8,8";"9,1";"8,8";"8,7";"8,9"
"Guzolândia (SP)";"Total";"8,4";"8,2";"8,6";"8,1";"7,9";"8,3"
"Herculândia (SP)";"Total";"8,3";"8,0";"8,5";"7,9";"7,6";"8,1"
"Holambra (SP)";"Total";"10,6";"10,5";"10,7";"10,8";"10,7";"10,9"
"Hortolândia (SP)";"Total";"10,3";"10,2";"10,3";"10,3";"10,3";"10,3"
"Iacanga (SP)";"Total";"9,1";"8,9";"9,4";"9,1";"8,8";"9,4"
"Iacri (SP)";"Total";"8,8";"8,6";"8,9";"8,5";"8,4";"8,7"
"Iaras (SP)";"Total";"8,1";"7,7";"9,1";"7,9";"7,5";"8,9"
"Ibaté (SP)";"Total";"9,1";"9,0";"9,2";"8,9";"8,8";"9,0"
"Ibirá (SP)";"Total";"9,5";"9,2";"9,7";"9,4";"9,2";"9,6"
"Ibirarema (SP)";"Total";"9,2";"9,1";"9,3";"9,0";"8,9";"9,2"
"Ibitinga (SP)";"Total";"8,5";"8,5";"8,6";"8,4";"8,4";"8,4"
"Ibiúna (SP)";"Total";"8,8";"8,7";"9,0";"8,6";"8,4";"8,8"
"Icém (SP)";"Total";"9,2";"9,0";"9,4";"9,1";"9,0";"9,2"
"Iepê (SP)";"Total";"9,4";"9,1";"9,8";"9,3";"8,9";"9,7"
"Igaraçu do Tietê (SP)";"Total";"8,5";"8,6";"8,4";"8,3";"8,4";"8,2"
"Igarapava (SP)";"Total";"8,8";"8,5";"9,1";"8,8";"8,5";"9,1"
"Igaratá (SP)";"Total";"8,7";"8,5";"8,9";"8,6";"8,3";"8,8"
"Iguape (SP)";"Total";"9,3";"8,9";"9,7";"9,1";"8,7";"9,5"
"Ilhabela (SP)";"Total";"10,4";"10,1";"10,7";"10,7";"10,3";"11,0"
"Ilha Comprida (SP)";"Total";"9,8";"9,6";"10,1";"10,0";"9,6";"10,3"
"Ilha Solteira (SP)";"Total";"10,8";"10,6";"11,0";"11,0";"10,8";"11,1"
"Indaiatuba (SP)";"Total";"10,8";"10,8";"10,8";"11,0";"11,0";"10,9"
"Indiana (SP)";"Total";"9,7";"9,4";"9,9";"9,6";"9,3";"9,9"
"Indiaporã (SP)";"Total";"8,9";"8,7";"9,2";"8,9";"8,6";"9,1"
"Inúbia Paulista (SP)";"Total";"9,8";"9,7";"10,0";"9,8";"9,6";"10,0"
"Ipaussu (SP)";"Total";"9,5";"9,5";"9,6";"9,5";"9,5";"9,5"
"Iperó (SP)";"Total";"9,3";"9,2";"9,6";"9,3";"9,1";"9,5"
"Ipeúna (SP)";"Total";"9,7";"9,6";"9,8";"9,6";"9,5";"9,7"
"Ipiguá (SP)";"Total";"9,0";"8,8";"9,2";"8,9";"8,7";"9,1"
"Iporanga (SP)";"Total";"9,1";"8,8";"9,4";"9,0";"8,7";"9,4"
"Ipuã (SP)";"Total";"9,0";"9,0";"9,1";"8,7";"8,7";"8,7"
"Iracemápolis (SP)";"Total";"10,1";"10,0";"10,1";"10,2";"10,1";"10,2"
"Irapuã (SP)";"Total";"8,6";"8,4";"8,8";"8,3";"8,1";"8,6"
"Irapuru (SP)";"Total";"8,8";"8,6";"9,1";"8,7";"8,4";"9,0"
"Itaberá (SP)";"Total";"8,7";"8,5";"8,8";"8,4";"8,3";"8,5"
"Itaí (SP)";"Total";"8,8";"8,5";"9,0";"8,6";"8,3";"8,8"
"Itajobi (SP)";"Total";"9,1";"8,9";"9,2";"8,9";"8,8";"9,0"
"Itaju (SP)";"Total";"8,2";"8,1";"8,3";"8,0";"7,9";"8,1"
"Itanhaém (SP)";"Total";"9,9";"9,7";"10,1";"10,0";"9,8";"10,2"
"Itaoca (SP)";"Total";"8,5";"8,1";"8,8";"8,1";"7,7";"8,6"
"Itapecerica da Serra (SP)";"Total";"9,7";"9,5";"9,9";"9,7";"9,6";"9,9"
"Itapetininga (SP)";"Total";"10,2";"10,1";"10,4";"10,3";"10,2";"10,5"
"Itapeva (SP)";"Total";"9,5";"9,4";"9,5";"9,4";"9,4";"9,4"
"Itapevi (SP)";"Total";"9,7";"9,6";"9,8";"9,7";"9,6";"9,8"
"Itapira (SP)";"Total";"9,8";"9,7";"9,9";"9,8";"9,7";"9,9"
"Itapirapuã Paulista (SP)";"Total";"8,2";"8,0";"8,3";"7,6";"7,4";"7,8"
"Itápolis (SP)";"Total";"9,3";"9,2";"9,4";"9,2";"9,1";"9,3"
"Itaporanga (SP)";"Total";"8,6";"8,5";"8,7";"8,3";"8,2";"8,5"
"Itapuí (SP)";"Total";"9,1";"9,1";"9,2";"9,1";"9,0";"9,2"
