codigo_municipio,nome_municipio,ano,categoria_rede_agua,variavel,unidade_medida,valor
3501301,Álvares Machado - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,46
3501301,Álvares Machado - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,900
3501400,Álvaro de Carvalho - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1168
3501400,Álvaro de Carvalho - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1073
3501400,Álvaro de Carvalho - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,61
3501400,Álvaro de Carvalho - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,34
3501509,Alvinlândia - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1007
3501509,Alvinlândia - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,939
3501509,Alvinlândia - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,6
3501509,Alvinlândia - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,62
3501608,Americana - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,89205
3501608,Americana - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,85379
3501608,Americana - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,2458
3501608,Americana - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1368
3501707,Américo Brasiliense - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,11411
3501707,Américo Brasiliense - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,11335
3501707,Américo Brasiliense - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,29
3501707,Américo Brasiliense - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,47
3501806,Américo de Campos - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2361
3501806,Américo de Campos - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,2105
3501806,Américo de Campos - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,149
3501806,Américo de Campos - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,107
3501905,Amparo - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,24491
3501905,Amparo - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,21999
3501905,Amparo - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,257
3501905,Amparo - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,2235
3502002,Analândia - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1679
3502002,Analândia - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1431
3502002,Analândia - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,196
3502002,Analândia - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,52
3502101,Andradina - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,21911
3502101,Andradina - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,20897
3502101,Andradina - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,52
3502101,Andradina - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,962
3502200,Angatuba - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,8493
3502200,Angatuba - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,7085
3502200,Angatuba - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,125
3502200,Angatuba - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1283
3502309,Anhembi - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2054
3502309,Anhembi - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1619
3502309,Anhembi - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,85
3502309,Anhembi - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,350
3502408,Anhumas - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1481
3502408,Anhumas - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1264
3502408,Anhumas - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,6
3502408,Anhumas - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,211
3502507,Aparecida - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,11364
3502507,Aparecida - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,11197
3502507,Aparecida - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,14
3502507,Aparecida - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,153
3502606,Aparecida d'Oeste - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1616
3502606,Aparecida d'Oeste - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1354
3502606,Aparecida d'Oeste - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,11
3502606,Aparecida d'Oeste - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,251
3502705,Apiaí - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,8822
3502705,Apiaí - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,7114
3502705,Apiaí - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,118
3502705,Apiaí - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1590
3502754,Araçariguama - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,7399
3502754,Araçariguama - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,5849
3502754,Araçariguama - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,182
3502754,Araçariguama - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1368
3502804,Araçatuba - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,77774
3502804,Araçatuba - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,75678
3502804,Araçatuba - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,587
3502804,Araçatuba - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1509
3502903,Araçoiaba da Serra - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,11778
3502903,Araçoiaba da Serra - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,9993
3502903,Araçoiaba da Serra - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,518
3502903,Araçoiaba da Serra - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1267
3503000,Aramina - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2002
3503000,Aramina - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1875
3503000,Aramina - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,29
3503000,Aramina - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,98
3503109,Arandu - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2383
3503109,Arandu - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1856
3503109,Arandu - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,190
3503109,Arandu - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,337
3503158,Arapeí - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,885
3503158,Arapeí - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,711
3503158,Arapeí - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,16
3503158,Arapeí - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,158
3503208,Araraquara - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,92512
3503208,Araraquara - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,91173
3503208,Araraquara - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,363
3503208,Araraquara - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,976
3503307,Araras - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,47974
3503307,Araras - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,46225
3503307,Araras - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,725
3503307,Araras - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1024
3503356,Arco-Íris - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,733
3503356,Arco-Íris - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,550
3503356,Arco-Íris - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,180
3503356,Arco-Íris - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,3
3503406,Arealva - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,3079
3503406,Arealva - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,2372
3503406,Arealva - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,129
3503406,Arealva - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,578
3503505,Areias - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1231
3503505,Areias - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,969
3503505,Areias - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,4
3503505,Areias - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,258
3503604,Areiópolis - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,3400
3503604,Areiópolis - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,3225
3503604,Areiópolis - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,17
3503604,Areiópolis - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,158
3503703,Ariranha - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2874
3503703,Ariranha - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,2770
3503703,Ariranha - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,11
3503703,Ariranha - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,93
3503802,Artur Nogueira - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,18150
3503802,Artur Nogueira - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,16091
3503802,Artur Nogueira - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,324
3503802,Artur Nogueira - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1735
3503901,Arujá - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,29348
3503901,Arujá - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,27848
3503901,Arujá - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,290
3503901,Arujá - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1210
3503950,Aspásia - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,679
3503950,Aspásia - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,541
3503950,Aspásia - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,63
3503950,Aspásia - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,75
3504008,Assis - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,38161
3504008,Assis - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,36995
3504008,Assis - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,126
3504008,Assis - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1040
3504107,Atibaia - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,56522
3504107,Atibaia - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,43103
3504107,Atibaia - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,1273
3504107,Atibaia - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,12146
3504206,Auriflama - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,5393
3504206,Auriflama - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,4923
3504206,Auriflama - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,177
3504206,Auriflama - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,293
