"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Redenção da Serra (SP)";"Total";"Total";"3702";"1946";"1756";"3409";"1793";"1616";"293";"153";"140"
"Regente Feijó (SP)";"Total";"Total";"16605";"8041";"8564";"15876";"7727";"8149";"729";"314";"415"
"Reginópolis (SP)";"Total";"Total";"6640";"4239";"2401";"6202";"3928";"2274";"438";"311";"127"
"Registro (SP)";"Total";"Total";"48230";"23699";"24531";"46478";"22973";"23505";"1752";"726";"1026"
"Restinga (SP)";"Total";"Total";"5075";"2511";"2564";"4838";"2409";"2429";"237";"102";"135"
"Ribeira (SP)";"Total";"Total";"2516";"1268";"1248";"2294";"1153";"1141";"222";"115";"107"
"Ribeirão Bonito (SP)";"Total";"Total";"8954";"4440";"4514";"8336";"4135";"4201";"618";"305";"313"
"Ribeirão Branco (SP)";"Total";"Total";"14490";"7367";"7123";"13171";"6728";"6443";"1319";"639";"680"
"Ribeirão Corrente (SP)";"Total";"Total";"3610";"1817";"1793";"3349";"1689";"1660";"261";"128";"133"
"Ribeirão do Sul (SP)";"Total";"Total";"3878";"1929";"1949";"3620";"1801";"1819";"258";"128";"130"
"Ribeirão dos Índios (SP)";"Total";"Total";"1729";"812";"917";"1585";"744";"841";"144";"68";"76"
"Ribeirão Grande (SP)";"Total";"Total";"6070";"3078";"2992";"5555";"2871";"2684";"515";"207";"308"
"Ribeirão Pires (SP)";"Total";"Total";"95922";"45750";"50172";"93216";"44590";"48626";"2706";"1160";"1546"
"Ribeirão Preto (SP)";"Total";"Total";"580935";"272397";"308538";"569023";"267063";"301960";"11912";"5334";"6578"
"Riversul (SP)";"Total";"Total";"4493";"2221";"2272";"4105";"2048";"2057";"388";"173";"215"
"Rifaina (SP)";"Total";"Total";"3338";"1683";"1655";"3186";"1606";"1580";"152";"77";"75"
"Rincão (SP)";"Total";"Total";"7428";"3674";"3754";"6987";"3472";"3515";"441";"202";"239"
"Rinópolis (SP)";"Total";"Total";"7774";"3819";"3955";"7310";"3621";"3689";"464";"198";"266"
"Rio Claro (SP)";"Total";"Total";"166771";"79533";"87238";"162493";"77625";"84868";"4278";"1908";"2370"
"Rio das Pedras (SP)";"Total";"Total";"25220";"12436";"12784";"24363";"12041";"12322";"857";"395";"462"
"Rio Grande da Serra (SP)";"Total";"Total";"35406";"16987";"18419";"33917";"16357";"17560";"1489";"630";"859"
"Riolândia (SP)";"Total";"Total";"8789";"5543";"3246";"8138";"5179";"2959";"651";"364";"287"
"Rosana (SP)";"Total";"Total";"14319";"6933";"7386";"13486";"6577";"6909";"833";"356";"477"
"Roseira (SP)";"Total";"Total";"8640";"4238";"4402";"8359";"4104";"4255";"281";"134";"147"
"Rubiácea (SP)";"Total";"Total";"2133";"1063";"1070";"1964";"981";"983";"169";"82";"87"
"Rubinéia (SP)";"Total";"Total";"3214";"1588";"1626";"3076";"1539";"1537";"138";"49";"89"
"Sabino (SP)";"Total";"Total";"4250";"2052";"2198";"4011";"1947";"2064";"239";"105";"134"
"Sagres (SP)";"Total";"Total";"1992";"965";"1027";"1815";"885";"930";"177";"80";"97"
"Sales (SP)";"Total";"Total";"5323";"2595";"2728";"4979";"2438";"2541";"344";"157";"187"
"Sales Oliveira (SP)";"Total";"Total";"9436";"4569";"4867";"9139";"4443";"4696";"297";"126";"171"
"Salesópolis (SP)";"Total";"Total";"12354";"6089";"6265";"11618";"5765";"5853";"736";"324";"412"
"Salmourão (SP)";"Total";"Total";"3928";"1984";"1944";"3531";"1786";"1745";"397";"198";"199"
"Saltinho (SP)";"Total";"Total";"6841";"3322";"3519";"6698";"3231";"3467";"143";"91";"52"
"Salto (SP)";"Total";"Total";"109017";"52820";"56197";"106189";"51620";"54569";"2828";"1200";"1628"
"Salto de Pirapora (SP)";"Total";"Total";"35521";"17461";"18060";"34330";"16932";"17398";"1191";"529";"662"
"Salto Grande (SP)";"Total";"Total";"7386";"3603";"3783";"6849";"3355";"3494";"537";"248";"289"
"Sandovalina (SP)";"Total";"Total";"2859";"1425";"1434";"2702";"1350";"1352";"157";"75";"82"
"Santa Adélia (SP)";"Total";"Total";"11647";"5711";"5936";"11137";"5487";"5650";"510";"224";"286"
"Santa Albertina (SP)";"Total";"Total";"5272";"2611";"2661";"4894";"2434";"2460";"378";"177";"201"
"Santa Bárbara d'Oeste (SP)";"Total";"Total";"152414";"74084";"78330";"148465";"72483";"75982";"3949";"1601";"2348"
"Santa Branca (SP)";"Total";"Total";"11618";"5761";"5857";"11036";"5474";"5562";"582";"287";"295"
"Santa Clara d'Oeste (SP)";"Total";"Total";"2092";"1051";"1041";"1960";"987";"973";"132";"64";"68"
"Santa Cruz da Conceição (SP)";"Total";"Total";"3637";"1772";"1865";"3502";"1704";"1798";"135";"68";"67"
"Santa Cruz da Esperança (SP)";"Total";"Total";"1709";"835";"874";"1635";"795";"840";"74";"40";"34"
"Santa Cruz das Palmeiras (SP)";"Total";"Total";"23636";"11557";"12079";"22246";"10836";"11410";"1390";"721";"669"
"Santa Cruz do Rio Pardo (SP)";"Total";"Total";"37858";"18209";"19649";"36537";"17640";"18897";"1321";"569";"752"
"Santa Ernestina (SP)";"Total";"Total";"4981";"2469";"2512";"4738";"2366";"2372";"243";"103";"140"
"Santa Fé do Sul (SP)";"Total";"Total";"28881";"13742";"15139";"27798";"13289";"14509";"1083";"453";"630"
"Santa Gertrudes (SP)";"Total";"Total";"18853";"9436";"9417";"18248";"9184";"9064";"605";"252";"353"
"Santa Isabel (SP)";"Total";"Total";"43137";"21106";"22031";"40793";"20045";"20748";"2344";"1061";"1283"
"Santa Lúcia (SP)";"Total";"Total";"5863";"2873";"2990";"5501";"2732";"2769";"362";"141";"221"
"Santa Maria da Serra (SP)";"Total";"Total";"4168";"2069";"2099";"3892";"1939";"1953";"276";"130";"146"
"Santa Mercedes (SP)";"Total";"Total";"2394";"1183";"1211";"2243";"1118";"1125";"151";"65";"86"
"Santana da Ponte Pensa (SP)";"Total";"Total";"1444";"716";"728";"1335";"670";"665";"109";"46";"63"
"Santana de Parnaíba (SP)";"Total";"Total";"121438";"58001";"63437";"117811";"56339";"61472";"3627";"1662";"1965"
"Santa Rita d'Oeste (SP)";"Total";"Total";"2343";"1144";"1199";"2166";"1073";"1093";"177";"71";"106"
"Santa Rita do Passa Quatro (SP)";"Total";"Total";"21113";"10072";"11041";"20369";"9716";"10653";"744";"356";"388"
"Santa Rosa de Viterbo (SP)";"Total";"Total";"19358";"9246";"10112";"18704";"8946";"9758";"654";"300";"354"
"Santa Salete (SP)";"Total";"Total";"1386";"691";"695";"1316";"657";"659";"70";"34";"36"
"Santo Anastácio (SP)";"Total";"Total";"15091";"7152";"7939";"14479";"6891";"7588";"612";"261";"351"
"Santo André (SP)";"Total";"Total";"627870";"292965";"334905";"615268";"287851";"327417";"12602";"5114";"7488"
"Santo Antônio da Alegria (SP)";"Total";"Total";"5522";"2792";"2730";"5281";"2655";"2626";"241";"137";"104"
"Santo Antônio de Posse (SP)";"Total";"Total";"18830";"9360";"9470";"18125";"9056";"9069";"705";"304";"401"
"Santo Antônio do Aracanguá (SP)";"Total";"Total";"6818";"3418";"3400";"6426";"3227";"3199";"392";"191";"201"
"Santo Antônio do Jardim (SP)";"Total";"Total";"5112";"2553";"2559";"4805";"2402";"2403";"307";"151";"156"
"Santo Antônio do Pinhal (SP)";"Total";"Total";"5883";"2936";"2947";"5628";"2822";"2806";"255";"114";"141"
"Santo Expedito (SP)";"Total";"Total";"2512";"1215";"1297";"2342";"1141";"1201";"170";"74";"96"
"Santópolis do Aguapeí (SP)";"Total";"Total";"3143";"1516";"1627";"2923";"1417";"1506";"220";"99";"121"
"Santos (SP)";"Total";"Total";"358238";"158974";"199264";"352499";"156601";"195898";"5739";"2373";"3366"
"São Bento do Sapucaí (SP)";"Total";"Total";"9702";"4772";"4930";"9332";"4583";"4749";"370";"189";"181"
"São Bernardo do Campo (SP)";"Total";"Total";"671639";"314442";"357197";"655517";"307581";"347936";"16122";"6861";"9261"
"São Caetano do Sul (SP)";"Total";"Total";"140316";"62887";"77429";"138689";"62286";"76403";"1627";"601";"1026"
"São Carlos (SP)";"Total";"Total";"211578";"101738";"109840";"206297";"99523";"106774";"5281";"2215";"3066"
"São Francisco (SP)";"Total";"Total";"2220";"1083";"1137";"2031";"1008";"1023";"189";"75";"114"
"São João da Boa Vista (SP)";"Total";"Total";"77523";"36771";"40752";"75408";"35893";"39515";"2115";"878";"1237"
"São João das Duas Pontes (SP)";"Total";"Total";"2162";"1076";"1086";"1981";"986";"995";"181";"90";"91"
"São João de Iracema (SP)";"Total";"Total";"1507";"741";"766";"1396";"697";"699";"111";"44";"67"
"São João do Pau d'Alho (SP)";"Total";"Total";"1899";"938";"961";"1788";"891";"897";"111";"47";"64"
"São Joaquim da Barra (SP)";"Total";"Total";"40039";"19183";"20856";"38650";"18598";"20052";"1389";"585";"804"
"São José da Bela Vista (SP)";"Total";"Total";"6053";"3021";"3032";"5644";"2836";"2808";"409";"185";"224"
"São José do Barreiro (SP)";"Total";"Total";"3104";"1526";"1578";"2860";"1406";"1454";"244";"120";"124"
"São José do Rio Pardo (SP)";"Total";"Total";"43314";"20725";"22589";"41973";"20110";"21863";"1341";"615";"726"
"São José do Rio Preto (SP)";"Total";"Total";"399950";"188158";"211792";"391300";"184498";"206802";"8650";"3660";"4990"
"São José dos Campos (SP)";"Total";"Total";"568199";"269649";"298550";"556049";"264365";"291684";"12150";"5284";"6866"
"São Lourenço da Serra (SP)";"Total";"Total";"12991";"6456";"6535";"12155";"6070";"6085";"836";"386";"450"
"São Luiz do Paraitinga (SP)";"Total";"Total";"8735";"4403";"4332";"8108";"4093";"4015";"627";"310";"317"
"São Manuel (SP)";"Total";"Total";"30610";"14901";"15709";"29214";"14326";"14888";"1396";"575";"821"
"São Miguel Arcanjo (SP)";"Total";"Total";"25730";"12889";"12841";"24389";"12323";"12066";"1341";"566";"775"
"São Paulo (SP)";"Total";"Total";"9498693";"4391783";"5106910";"9253336";"4285707";"4967629";"245357";"106076";"139281"
"São Pedro (SP)";"Total";"Total";"31725";"15132";"16593";"30606";"14630";"15976";"1119";"502";"617"
"São Pedro do Turvo (SP)";"Total";"Total";"5774";"2886";"2888";"5417";"2726";"2691";"357";"160";"197"
"São Roque (SP)";"Total";"Total";"64915";"31236";"33679";"62508";"30117";"32391";"2407";"1119";"1288"
"São Sebastião (SP)";"Total";"Total";"64776";"31355";"33421";"61937";"29998";"31939";"2839";"1357";"1482"
"São Sebastião da Grama (SP)";"Total";"Total";"8723";"4321";"4402";"8352";"4144";"4208";"371";"177";"194"
"São Simão (SP)";"Total";"Total";"11231";"5448";"5783";"10807";"5233";"5574";"424";"215";"209"
"São Vicente (SP)";"Total";"Total";"269505";"127799";"141706";"260788";"123866";"136922";"8717";"3933";"4784"
"Sarapuí (SP)";"Total";"Total";"8332";"4203";"4129";"7971";"4023";"3948";"361";"180";"181"
"Sarutaiá (SP)";"Total";"Total";"3029";"1485";"1544";"2811";"1383";"1428";"218";"102";"116"
"Sebastianópolis do Sul (SP)";"Total";"Total";"2564";"1226";"1338";"2383";"1161";"1222";"181";"65";"116"
"Serra Azul (SP)";"Total";"Total";"10946";"7271";"3675";"10307";"6854";"3453";"639";"417";"222"
"Serrana (SP)";"Total";"Total";"34958";"17071";"17887";"33396";"16362";"17034";"1562";"709";"853"
"Serra Negra (SP)";"Total";"Total";"25168";"11979";"13189";"24276";"11574";"12702";"892";"405";"487"
"Sertãozinho (SP)";"Total";"Total";"102781";"49492";"53289";"98810";"47796";"51014";"3971";"1696";"2275"
"Sete Barras (SP)";"Total";"Total";"10008";"5073";"4935";"9143";"4650";"4493";"865";"423";"442"
"Severínia (SP)";"Total";"Total";"11849";"6034";"5815";"10951";"5628";"5323";"898";"406";"492"
"Silveiras (SP)";"Total";"Total";"5036";"2517";"2519";"4621";"2297";"2324";"415";"220";"195"
"Socorro (SP)";"Total";"Total";"33804";"16423";"17381";"32279";"15712";"16567";"1525";"711";"814"
"Sorocaba (SP)";"Total";"Total";"591679";"282107";"309572";"579397";"276790";"302607";"12282";"5317";"6965"
"Sud Mennucci (SP)";"Total";"Total";"6002";"2953";"3049";"5592";"2762";"2830";"410";"191";"219"
"Sumaré (SP)";"Total";"Total";"224774";"108656";"116118";"216905";"105370";"111535";"7869";"3286";"4583"
"Suzano (SP)";"Total";"Total";"244816";"116584";"128232";"236528";"112891";"123637";"8288";"3693";"4595"
"Suzanápolis (SP)";"Total";"Total";"2810";"1405";"1405";"2589";"1295";"1294";"221";"110";"111"
"Tabapuã (SP)";"Total";"Total";"9511";"4647";"4864";"8988";"4421";"4567";"523";"226";"297"
"Tabatinga (SP)";"Total";"Total";"11897";"5851";"6046";"11186";"5536";"5650";"711";"315";"396"
"Taboão da Serra (SP)";"Total";"Total";"221516";"103183";"118333";"215379";"100532";"114847";"6137";"2651";"3486"
"Taciba (SP)";"Total";"Total";"4983";"2413";"2570";"4697";"2277";"2420";"286";"136";"150"
"Taguaí (SP)";"Total";"Total";"10047";"4928";"5119";"9598";"4741";"4857";"449";"187";"262"
"Taiaçu (SP)";"Total";"Total";"4695";"2351";"2344";"4321";"2185";"2136";"374";"166";"208"
"Taiúva (SP)";"Total";"Total";"5633";"3258";"2375";"5314";"3118";"2196";"319";"140";"179"
"Tambaú (SP)";"Total";"Total";"17503";"8532";"8971";"16857";"8233";"8624";"646";"299";"347"
"Tanabi (SP)";"Total";"Total";"20867";"10201";"10666";"19767";"9677";"10090";"1100";"524";"576"
"Tapiraí (SP)";"Total";"Total";"6316";"3165";"3151";"5853";"2947";"2906";"463";"218";"245"
"Tapiratiba (SP)";"Total";"Total";"9892";"4762";"5130";"9473";"4569";"4904";"419";"193";"226"
"Taquaral (SP)";"Total";"Total";"2187";"1088";"1099";"2017";"1013";"1004";"170";"75";"95"
"Taquaritinga (SP)";"Total";"Total";"43332";"20905";"22427";"41172";"19923";"21249";"2160";"982";"1178"
"Taquarituba (SP)";"Total";"Total";"20011";"10362";"9649";"18964";"9899";"9065";"1047";"463";"584"
"Taquarivaí (SP)";"Total";"Total";"5378";"2725";"2653";"5035";"2555";"2480";"343";"170";"173"
"Tarabai (SP)";"Total";"Total";"5271";"2573";"2698";"4932";"2400";"2532";"339";"173";"166"
"Tarumã (SP)";"Total";"Total";"11755";"5774";"5981";"11089";"5513";"5576";"666";"261";"405"
"Tatuí (SP)";"Total";"Total";"100153";"48467";"51686";"97270";"47171";"50099";"2883";"1296";"1587"
"Taubaté (SP)";"Total";"Total";"254846";"120910";"133936";"249279";"118356";"130923";"5567";"2554";"3013"
"Tejupá (SP)";"Total";"Total";"3299";"1685";"1614";"2989";"1545";"1444";"310";"140";"170"
"Teodoro Sampaio (SP)";"Total";"Total";"17545";"8546";"8999";"16457";"8056";"8401";"1088";"490";"598"
"Terra Roxa (SP)";"Total";"Total";"6533";"3240";"3293";"6276";"3125";"3151";"257";"115";"142"
"Tietê (SP)";"Total";"Total";"31186";"15212";"15974";"30421";"14881";"15540";"765";"331";"434"
"Timburi (SP)";"Total";"Total";"2051";"1035";"1016";"1927";"979";"948";"124";"56";"68"
"Torre de Pedra (SP)";"Total";"Total";"1709";"845";"864";"1623";"804";"819";"86";"41";"45"
"Torrinha (SP)";"Total";"Total";"7729";"3835";"3894";"7437";"3704";"3733";"292";"131";"161"
"Trabiju (SP)";"Total";"Total";"1347";"672";"675";"1228";"621";"607";"119";"51";"68"
"Tremembé (SP)";"Total";"Total";"42464";"22950";"19514";"41276";"22402";"18874";"1188";"548";"640"
"Três Fronteiras (SP)";"Total";"Total";"5606";"2781";"2825";"5241";"2613";"2628";"365";"168";"197"
"Tuiuti (SP)";"Total";"Total";"5663";"2833";"2830";"5359";"2685";"2674";"304";"148";"156"
"Tupã (SP)";"Total";"Total";"53565";"25328";"28237";"51382";"24417";"26965";"2183";"911";"1272"
"Tupi Paulista (SP)";"Total";"Total";"13711";"6967";"6744";"13222";"6742";"6480";"489";"225";"264"
"Turiúba (SP)";"Total";"Total";"1528";"748";"780";"1414";"698";"716";"114";"50";"64"
"Turmalina (SP)";"Total";"Total";"1483";"722";"761";"1404";"688";"716";"79";"34";"45"
"Ubarana (SP)";"Total";"Total";"4258";"2158";"2100";"3913";"1978";"1935";"345";"180";"165"
"Ubatuba (SP)";"Total";"Total";"74956";"36676";"38280";"72243";"35420";"36823";"2713";"1256";"1457"
"Ubirajara (SP)";"Total";"Total";"4016";"2080";"1936";"3771";"1956";"1815";"245";"124";"121"
"Uchoa (SP)";"Total";"Total";"8653";"4239";"4414";"8190";"4037";"4153";"463";"202";"261"
"União Paulista (SP)";"Total";"Total";"1253";"625";"628";"1169";"581";"588";"84";"44";"40"
"Urânia (SP)";"Total";"Total";"7425";"3638";"3787";"6909";"3415";"3494";"516";"223";"293"
"Uru (SP)";"Total";"Total";"1135";"553";"582";"1067";"521";"546";"68";"32";"36"
"Urupês (SP)";"Total";"Total";"11584";"5672";"5912";"11036";"5412";"5624";"548";"260";"288"
"Valentim Gentil (SP)";"Total";"Total";"11454";"5650";"5804";"10989";"5450";"5539";"465";"200";"265"
"Valinhos (SP)";"Total";"Total";"105779";"51032";"54747";"103712";"50156";"53556";"2067";"876";"1191"
"Valparaíso (SP)";"Total";"Total";"19771";"11209";"8562";"18850";"10808";"8042";"921";"401";"520"
"Vargem (SP)";"Total";"Total";"8441";"4281";"4160";"8022";"4100";"3922";"419";"181";"238"
"Vargem Grande do Sul (SP)";"Total";"Total";"32937";"16017";"16920";"31501";"15324";"16177";"1436";"693";"743"
"Vargem Grande Paulista (SP)";"Total";"Total";"40341";"19428";"20913";"39040";"18835";"20205";"1301";"593";"708"
"Várzea Paulista (SP)";"Total";"Total";"93254";"45828";"47426";"90017";"44450";"45567";"3237";"1378";"1859"
"Vera Cruz (SP)";"Total";"Total";"8482";"4089";"4393";"8137";"3948";"4189";"345";"141";"204"
"Vinhedo (SP)";"Total";"Total";"63014";"30381";"32633";"61760";"29837";"31923";"1254";"544";"710"
"Viradouro (SP)";"Total";"Total";"14152";"6961";"7191";"13546";"6681";"6865";"606";"280";"326"
"Vista Alegre do Alto (SP)";"Total";"Total";"6477";"3261";"3216";"6035";"3048";"2987";"442";"213";"229"
"Vitória Brasil (SP)";"Total";"Total";"1490";"754";"736";"1364";"693";"671";"126";"61";"65"
"Votorantim (SP)";"Total";"Total";"103427";"49676";"53751";"100997";"48700";"52297";"2430";"976";"1454"
"Votuporanga (SP)";"Total";"Total";"80491";"38301";"42190";"77832";"37229";"40603";"2659";"1072";"1587"
"Zacarias (SP)";"Total";"Total";"2185";"1069";"1116";"2044";"1005";"1039";"141";"64";"77"
"Chavantes (SP)";"Total";"Total";"9844";"4748";"5096";"9314";"4569";"4745";"530";"179";"351"
"Estiva Gerbi (SP)";"Total";"Total";"9157";"4556";"4601";"8824";"4417";"4407";"333";"139";"194"
"Fonte: IBGE - Censo Demográfico"

"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade - percentual do total geral"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Adamantina (SP)";"Total";"Total";"100,00";"47,59";"52,41";"96,49";"46,17";"50,32";"3,51";"1,41";"2,09"
"Adolfo (SP)";"Total";"Total";"100,00";"48,63";"51,37";"93,22";"45,69";"47,54";"6,78";"2,94";"3,84"
"Aguaí (SP)";"Total";"Total";"100,00";"48,91";"51,09";"95,03";"46,53";"48,50";"4,97";"2,38";"2,59"
"Águas da Prata (SP)";"Total";"Total";"100,00";"47,98";"52,02";"96,85";"46,65";"50,20";"3,15";"1,33";"1,82"
"Águas de Lindóia (SP)";"Total";"Total";"100,00";"48,08";"51,92";"96,41";"46,36";"50,05";"3,59";"1,72";"1,87"
"Águas de Santa Bárbara (SP)";"Total";"Total";"100,00";"49,22";"50,78";"95,64";"47,24";"48,40";"4,36";"1,99";"2,38"
"Águas de São Pedro (SP)";"Total";"Total";"100,00";"45,90";"54,10";"98,76";"45,28";"53,48";"1,24";"0,62";"0,62"
"Agudos (SP)";"Total";"Total";"100,00";"48,64";"51,36";"96,19";"46,99";"49,20";"3,81";"1,65";"2,16"
"Alambari (SP)";"Total";"Total";"100,00";"50,24";"49,76";"95,41";"48,25";"47,15";"4,59";"1,99";"2,60"
"Alfredo Marcondes (SP)";"Total";"Total";"100,00";"49,53";"50,47";"94,64";"47,41";"47,22";"5,36";"2,11";"3,25"
"Altair (SP)";"Total";"Total";"100,00";"51,07";"48,93";"92,55";"47,06";"45,49";"7,45";"4,01";"3,44"
"Altinópolis (SP)";"Total";"Total";"100,00";"48,83";"51,17";"94,99";"46,63";"48,36";"5,01";"2,20";"2,81"
"Alto Alegre (SP)";"Total";"Total";"100,00";"50,29";"49,71";"94,27";"47,56";"46,71";"5,73";"2,73";"3,00"
"Alumínio (SP)";"Total";"Total";"100,00";"49,68";"50,32";"96,20";"48,11";"48,10";"3,80";"1,57";"2,23"
"Álvares Florence (SP)";"Total";"Total";"100,00";"50,28";"49,72";"93,51";"47,29";"46,22";"6,49";"2,99";"3,50"
"Álvares Machado (SP)";"Total";"Total";"100,00";"48,16";"51,84";"95,77";"46,25";"49,52";"4,23";"1,91";"2,31"
"Álvaro de Carvalho (SP)";"Total";"Total";"100,00";"69,89";"30,11";"93,29";"66,31";"26,98";"6,71";"3,58";"3,13"
"Alvinlândia (SP)";"Total";"Total";"100,00";"49,21";"50,79";"92,71";"46,12";"46,59";"7,29";"3,09";"4,20"
"Americana (SP)";"Total";"Total";"100,00";"47,81";"52,19";"98,33";"47,18";"51,15";"1,67";"0,63";"1,04"
"Américo Brasiliense (SP)";"Total";"Total";"100,00";"49,18";"50,82";"94,50";"46,70";"47,80";"5,50";"2,48";"3,02"
"Américo de Campos (SP)";"Total";"Total";"100,00";"48,48";"51,52";"95,45";"46,99";"48,46";"4,55";"1,50";"3,05"
"Amparo (SP)";"Total";"Total";"100,00";"48,31";"51,69";"96,78";"46,85";"49,93";"3,22";"1,46";"1,76"
"Analândia (SP)";"Total";"Total";"100,00";"49,46";"50,54";"95,55";"47,19";"48,35";"4,45";"2,27";"2,19"
"Andradina (SP)";"Total";"Total";"100,00";"49,13";"50,87";"96,26";"47,51";"48,75";"3,74";"1,62";"2,12"
"Angatuba (SP)";"Total";"Total";"100,00";"49,98";"50,02";"95,85";"48,03";"47,82";"4,15";"1,95";"2,20"
"Anhembi (SP)";"Total";"Total";"100,00";"50,24";"49,76";"94,36";"47,62";"46,74";"5,64";"2,62";"3,02"
"Anhumas (SP)";"Total";"Total";"100,00";"48,48";"51,52";"94,36";"45,82";"48,54";"5,64";"2,65";"2,99"
"Aparecida (SP)";"Total";"Total";"100,00";"47,25";"52,75";"97,03";"45,93";"51,10";"2,97";"1,32";"1,64"
"Aparecida d'Oeste (SP)";"Total";"Total";"100,00";"48,59";"51,41";"91,79";"45,07";"46,71";"8,21";"3,52";"4,70"
"Apiaí (SP)";"Total";"Total";"100,00";"49,46";"50,54";"94,01";"46,68";"47,32";"5,99";"2,78";"3,22"
"Araçariguama (SP)";"Total";"Total";"100,00";"49,68";"50,32";"94,93";"47,09";"47,84";"5,07";"2,59";"2,48"
"Araçatuba (SP)";"Total";"Total";"100,00";"46,88";"53,12";"97,40";"45,78";"51,62";"2,60";"1,10";"1,50"
"Araçoiaba da Serra (SP)";"Total";"Total";"100,00";"49,46";"50,54";"97,01";"48,04";"48,96";"2,99";"1,42";"1,58"
"Aramina (SP)";"Total";"Total";"100,00";"48,16";"51,84";"95,06";"45,93";"49,12";"4,94";"2,22";"2,72"
"Arandu (SP)";"Total";"Total";"100,00";"50,29";"49,71";"93,67";"47,25";"46,43";"6,33";"3,04";"3,28"
"Arapeí (SP)";"Total";"Total";"100,00";"49,22";"50,78";"93,72";"46,37";"47,35";"6,28";"2,86";"3,43"
"Araraquara (SP)";"Total";"Total";"100,00";"47,28";"52,72";"97,62";"46,23";"51,39";"2,38";"1,05";"1,34"
"Araras (SP)";"Total";"Total";"100,00";"47,92";"52,08";"96,81";"46,45";"50,36";"3,19";"1,47";"1,72"
"Arco-Íris (SP)";"Total";"Total";"100,00";"50,00";"50,00";"92,48";"46,73";"45,76";"7,52";"3,27";"4,24"
"Arealva (SP)";"Total";"Total";"100,00";"49,79";"50,21";"96,19";"47,87";"48,32";"3,81";"1,92";"1,89"
"Areias (SP)";"Total";"Total";"100,00";"49,58";"50,42";"93,98";"46,54";"47,44";"6,02";"3,05";"2,98"
"Areiópolis (SP)";"Total";"Total";"100,00";"50,28";"49,72";"93,72";"47,69";"46,02";"6,28";"2,59";"3,70"
"Ariranha (SP)";"Total";"Total";"100,00";"49,73";"50,27";"94,32";"47,20";"47,12";"5,68";"2,53";"3,14"
"Artur Nogueira (SP)";"Total";"Total";"100,00";"48,98";"51,02";"95,41";"46,96";"48,45";"4,59";"2,02";"2,57"
"Arujá (SP)";"Total";"Total";"100,00";"47,79";"52,21";"96,45";"46,30";"50,15";"3,55";"1,49";"2,06"
"Aspásia (SP)";"Total";"Total";"100,00";"49,18";"50,82";"90,68";"45,04";"45,63";"9,32";"4,14";"5,19"
"Assis (SP)";"Total";"Total";"100,00";"47,48";"52,52";"97,38";"46,35";"51,04";"2,62";"1,14";"1,48"
"Atibaia (SP)";"Total";"Total";"100,00";"47,96";"52,04";"96,55";"46,32";"50,23";"3,45";"1,65";"1,81"
"Auriflama (SP)";"Total";"Total";"100,00";"48,71";"51,29";"94,83";"46,37";"48,46";"5,17";"2,34";"2,83"
"Avaí (SP)";"Total";"Total";"100,00";"50,03";"49,97";"93,86";"47,36";"46,50";"6,14";"2,67";"3,47"
"Avanhandava (SP)";"Total";"Total";"100,00";"56,16";"43,84";"94,77";"53,60";"41,16";"5,23";"2,55";"2,68"
"Avaré (SP)";"Total";"Total";"100,00";"49,04";"50,96";"96,58";"47,42";"49,15";"3,42";"1,61";"1,81"
"Bady Bassitt (SP)";"Total";"Total";"100,00";"48,56";"51,44";"97,56";"47,42";"50,15";"2,44";"1,14";"1,30"
"Balbinos (SP)";"Total";"Total";"100,00";"83,74";"16,26";"97,07";"81,69";"15,38";"2,93";"2,06";"0,88"
"Bálsamo (SP)";"Total";"Total";"100,00";"48,25";"51,75";"96,34";"46,78";"49,56";"3,66";"1,47";"2,19"
"Bananal (SP)";"Total";"Total";"100,00";"47,79";"52,21";"94,62";"45,16";"49,46";"5,38";"2,63";"2,75"
"Barão de Antonina (SP)";"Total";"Total";"100,00";"49,98";"50,02";"94,22";"47,02";"47,20";"5,78";"2,96";"2,82"
"Barbosa (SP)";"Total";"Total";"100,00";"48,19";"51,81";"92,55";"44,52";"48,03";"7,45";"3,67";"3,78"
"Bariri (SP)";"Total";"Total";"100,00";"48,56";"51,44";"96,13";"46,90";"49,24";"3,87";"1,66";"2,21"
"Barra Bonita (SP)";"Total";"Total";"100,00";"47,66";"52,34";"96,05";"46,00";"50,05";"3,95";"1,66";"2,28"
