"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Cananéia (SP)";"Total";"Total";"9889";"4828";"5061";"9422";"4644";"4778";"467";"184";"283"
"Canas (SP)";"Total";"Total";"3838";"1896";"1942";"3679";"1814";"1865";"159";"82";"77"
"Cândido Mota (SP)";"Total";"Total";"24244";"11692";"12552";"23108";"11207";"11901";"1136";"485";"651"
"Cândido Rodrigues (SP)";"Total";"Total";"2479";"1222";"1257";"2344";"1167";"1177";"135";"55";"80"
"Canitar (SP)";"Total";"Total";"4873";"2411";"2462";"4565";"2292";"2273";"308";"119";"189"
"Capão Bonito (SP)";"Total";"Total";"37262";"18342";"18920";"35103";"17434";"17669";"2159";"908";"1251"
"Capela do Alto (SP)";"Total";"Total";"18488";"10356";"8132";"17670";"9966";"7704";"818";"390";"428"
"Capivari (SP)";"Total";"Total";"40699";"19777";"20922";"39441";"19225";"20216";"1258";"552";"706"
"Caraguatatuba (SP)";"Total";"Total";"107828";"51710";"56118";"104040";"49959";"54081";"3788";"1751";"2037"
"Carapicuíba (SP)";"Total";"Total";"309682";"146487";"163195";"299217";"141993";"157224";"10465";"4494";"5971"
"Cardoso (SP)";"Total";"Total";"9522";"4634";"4888";"8897";"4364";"4533";"625";"270";"355"
"Casa Branca (SP)";"Total";"Total";"23227";"12019";"11208";"22294";"11472";"10822";"933";"547";"386"
"Cássia dos Coqueiros (SP)";"Total";"Total";"2363";"1200";"1163";"2197";"1111";"1086";"166";"89";"77"
"Castilho (SP)";"Total";"Total";"16112";"7904";"8208";"15069";"7450";"7619";"1043";"454";"589"
"Catanduva (SP)";"Total";"Total";"96556";"45681";"50875";"93470";"44446";"49024";"3086";"1235";"1851"
"Catiguá (SP)";"Total";"Total";"5772";"2854";"2918";"5486";"2741";"2745";"286";"113";"173"
"Cedral (SP)";"Total";"Total";"10337";"5065";"5272";"10006";"4925";"5081";"331";"140";"191"
"Cerqueira César (SP)";"Total";"Total";"17375";"9082";"8293";"16579";"8701";"7878";"796";"381";"415"
"Cerquilho (SP)";"Total";"Total";"36809";"17796";"19013";"35955";"17410";"18545";"854";"386";"468"
"Cesário Lange (SP)";"Total";"Total";"15415";"7918";"7497";"14727";"7593";"7134";"688";"325";"363"
"Charqueada (SP)";"Total";"Total";"12547";"6194";"6353";"11950";"5921";"6029";"597";"273";"324"
"Clementina (SP)";"Total";"Total";"5562";"2746";"2816";"5217";"2579";"2638";"345";"167";"178"
"Colina (SP)";"Total";"Total";"15072";"7239";"7833";"14391";"6930";"7461";"681";"309";"372"
"Colômbia (SP)";"Total";"Total";"5249";"2626";"2623";"4858";"2434";"2424";"391";"192";"199"
"Conchal (SP)";"Total";"Total";"22431";"11084";"11347";"21059";"10402";"10657";"1372";"682";"690"
"Conchas (SP)";"Total";"Total";"12497";"6205";"6292";"12021";"5957";"6064";"476";"248";"228"
"Cordeirópolis (SP)";"Total";"Total";"19772";"9689";"10083";"19195";"9428";"9767";"577";"261";"316"
"Coroados (SP)";"Total";"Total";"4407";"2170";"2237";"4221";"2089";"2132";"186";"81";"105"
"Coronel Macedo (SP)";"Total";"Total";"3543";"1774";"1769";"3233";"1638";"1595";"310";"136";"174"
"Corumbataí (SP)";"Total";"Total";"3386";"1694";"1692";"3212";"1597";"1615";"174";"97";"77"
"Cosmópolis (SP)";"Total";"Total";"48566";"23614";"24952";"46932";"22944";"23988";"1634";"670";"964"
"Cosmorama (SP)";"Total";"Total";"7199";"3550";"3649";"6767";"3344";"3423";"432";"206";"226"
"Cotia (SP)";"Total";"Total";"216858";"103540";"113318";"210224";"100542";"109682";"6634";"2998";"3636"
"Cravinhos (SP)";"Total";"Total";"27495";"13408";"14087";"26362";"12907";"13455";"1133";"501";"632"
"Cristais Paulista (SP)";"Total";"Total";"7453";"3689";"3764";"7028";"3485";"3543";"425";"204";"221"
"Cruzália (SP)";"Total";"Total";"1767";"850";"917";"1671";"807";"864";"96";"43";"53"
"Cruzeiro (SP)";"Total";"Total";"61426";"29121";"32305";"60040";"28484";"31556";"1386";"637";"749"
"Cubatão (SP)";"Total";"Total";"89695";"42491";"47204";"85617";"40707";"44910";"4078";"1784";"2294"
