"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Município","Sexo","Cor ou raça","Ano x Nível de instrução x Grupo de idade"
"Município","Sexo","Cor ou raça","2022"
"Município","Sexo","Cor ou raça","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo"
"Município","Sexo","Cor ou raça","Total","Total","Total","Total","Total"
"Bariri (SP)","Homens","Total","11997","3837","2024","4200","1936"
"Bariri (SP)","Mulheres","Total","12777","4336","1931","4088","2422"
"Barra Bonita (SP)","Total","Total","28095","8398","4394","10139","5164"
"Barra Bonita (SP)","Homens","Total","13334","3831","2216","5105","2182"
"Barra Bonita (SP)","Mulheres","Total","14761","4568","2177","5034","2982"
"Barra do Chapéu (SP)","Total","Total","3816","1711","564","1346","195"
"Barra do Chapéu (SP)","Homens","Total","2018","944","331","678","66"
"Barra do Chapéu (SP)","Mulheres","Total","1797","767","233","669","129"
"Barra do Turvo (SP)","Total","Total","5065","2511","701","1508","344"
"Barra do Turvo (SP)","Homens","Total","2531","1323","372","721","115"
"Barra do Turvo (SP)","Mulheres","Total","2534","1188","330","787","229"
"Barretos (SP)","Total","Total","96558","23053","16742","37538","19225"
"Barretos (SP)","Homens","Total","45530","11198","8710","17641","7980"
"Barretos (SP)","Mulheres","Total","51029","11855","8032","19896","11245"
"Barrinha (SP)","Total","Total","23813","8741","3881","8391","2800"
"Barrinha (SP)","Homens","Total","11594","4494","2068","3973","1059"
"Barrinha (SP)","Mulheres","Total","12219","4247","1813","4418","1741"
"Barueri (SP)","Total","Total","236879","41563","31436","111820","52060"
"Barueri (SP)","Homens","Total","110753","18853","15996","52579","23325"
"Barueri (SP)","Mulheres","Total","126126","22711","15440","59241","28735"
"Bastos (SP)","Total","Total","16724","5513","2791","6037","2384"
"Bastos (SP)","Homens","Total","8107","2533","1550","3085","939"
"Bastos (SP)","Mulheres","Total","8617","2980","1240","2952","1445"
"Batatais (SP)","Total","Total","46287","15199","7691","15442","7955"
"Batatais (SP)","Homens","Total","22145","7287","3740","7543","3574"
"Batatais (SP)","Mulheres","Total","24142","7912","3950","7898","4381"
"Bauru (SP)","Total","Total","299331","61362","47651","119035","71283"
"Bauru (SP)","Homens","Total","142929","28332","25476","58203","30919"
"Bauru (SP)","Mulheres","Total","156402","33030","22175","60832","40364"
"Bebedouro (SP)","Total","Total","60325","16632","10176","20627","12890"
"Bebedouro (SP)","Homens","Total","28718","7698","5361","10004","5655"
"Bebedouro (SP)","Mulheres","Total","31607","8934","4814","10624","7235"
"Bento de Abreu (SP)","Total","Total","2000","678","229","852","241"
"Bento de Abreu (SP)","Homens","Total","978","350","121","397","110"
"Bento de Abreu (SP)","Mulheres","Total","1022","328","108","455","131"
"Bernardino de Campos (SP)","Total","Total","9327","3257","1984","2880","1207"
"Bernardino de Campos (SP)","Homens","Total","5021","1814","1283","1438","485"
"Bernardino de Campos (SP)","Mulheres","Total","4307","1442","701","1441","722"
"Bertioga (SP)","Total","Total","47659","14599","8415","18847","5798"
"Bertioga (SP)","Homens","Total","23384","7774","4086","9046","2478"
"Bertioga (SP)","Mulheres","Total","24275","6825","4329","9801","3320"
"Bilac (SP)","Total","Total","5857","1872","974","2126","886"
"Bilac (SP)","Homens","Total","2863","874","538","1072","379"
"Bilac (SP)","Mulheres","Total","2995","998","436","1054","507"
"Birigui (SP)","Total","Total","93838","25525","16109","34862","17342"
"Birigui (SP)","Homens","Total","44596","11991","8197","17147","7261"
"Birigui (SP)","Mulheres","Total","49243","13535","7912","17715","10081"
"Biritiba Mirim (SP)","Total","Total","22683","7418","3738","9089","2438"
"Biritiba Mirim (SP)","Homens","Total","11214","3754","2009","4535","916"
"Biritiba Mirim (SP)","Mulheres","Total","11469","3664","1729","4554","1522"
"Boa Esperança do Sul (SP)","Total","Total","9765","3777","1857","3245","887"
"Boa Esperança do Sul (SP)","Homens","Total","4725","1889","1020","1566","249"
"Boa Esperança do Sul (SP)","Mulheres","Total","5040","1887","836","1679","638"
"Bocaina (SP)","Total","Total","8745","3330","1417","2733","1265"
"Bocaina (SP)","Homens","Total","4220","1667","675","1351","528"
"Bocaina (SP)","Mulheres","Total","4525","1664","742","1382","737"
"Bofete (SP)","Total","Total","8120","3422","1232","2634","832"
"Bofete (SP)","Homens","Total","4082","1797","712","1242","331"
"Bofete (SP)","Mulheres","Total","4039","1626","521","1391","501"
"Boituva (SP)","Total","Total","46759","11909","7024","18541","9286"
"Boituva (SP)","Homens","Total","22719","5777","3751","8941","4249"
"Boituva (SP)","Mulheres","Total","24040","6132","3272","9600","5036"
"Bom Jesus dos Perdões (SP)","Total","Total","16775","5643","2483","6418","2231"
"Bom Jesus dos Perdões (SP)","Homens","Total","8250","2906","1380","3079","885"
"Bom Jesus dos Perdões (SP)","Mulheres","Total","8525","2737","1104","3339","1346"
"Bom Sucesso de Itararé (SP)","Total","Total","2548","1006","427","894","221"
"Bom Sucesso de Itararé (SP)","Homens","Total","1298","543","225","472","59"
"Bom Sucesso de Itararé (SP)","Mulheres","Total","1250","463","203","422","162"
"Borá (SP)","Total","Total","687","281","70","277","59"
"Borá (SP)","Homens","Total","345","152","35","140","18"
"Borá (SP)","Mulheres","Total","342","129","35","137","41"
"Boracéia (SP)","Total","Total","3549","1426","618","1146","358"
