"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Município","Sexo","Cor ou raça","Ano x Nível de instrução x Grupo de idade"
"Município","Sexo","Cor ou raça","2022"
"Município","Sexo","Cor ou raça","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo"
"Município","Sexo","Cor ou raça","Total","Total","Total","Total","Total"
"Américo Brasiliense (SP)","Homens","Total","48.89","15.97","8.85","21.94","2.13"
"Américo Brasiliense (SP)","Mulheres","Total","51.10","17.51","8.47","21.59","3.54"
"Américo de Campos (SP)","Total","Total","100.00","37.97","15.64","34.36","12.03"
"Américo de Campos (SP)","Homens","Total","48.64","19.31","7.83","16.92","4.58"
"Américo de Campos (SP)","Mulheres","Total","51.36","18.66","7.81","17.44","7.45"
"Amparo (SP)","Total","Total","100.00","26.48","13.48","40.81","19.23"
"Amparo (SP)","Homens","Total","48.28","12.39","6.95","20.81","8.13"
"Amparo (SP)","Mulheres","Total","51.72","14.09","6.54","19.99","11.10"
"Analândia (SP)","Total","Total","100.00","28.26","13.37","40.74","17.66"
"Analândia (SP)","Homens","Total","49.37","14.57","6.51","20.03","8.29"
"Analândia (SP)","Mulheres","Total","50.63","13.69","6.86","20.71","9.37"
"Andradina (SP)","Total","Total","100.00","29.20","16.07","36.17","18.56"
"Andradina (SP)","Homens","Total","49.27","14.79","8.84","18.06","7.58"
"Andradina (SP)","Mulheres","Total","50.73","14.40","7.23","18.11","10.98"
"Angatuba (SP)","Total","Total","100.00","37.23","15.06","34.33","13.38"
"Angatuba (SP)","Homens","Total","49.92","18.76","8.33","17.03","5.80"
"Angatuba (SP)","Mulheres","Total","50.08","18.47","6.73","17.30","7.58"
"Anhembi (SP)","Total","Total","100.00","41.21","18.59","27.92","12.28"
"Anhembi (SP)","Homens","Total","50.09","22.01","10.72","13.51","3.83"
"Anhembi (SP)","Mulheres","Total","49.91","19.20","7.86","14.41","8.46"
"Anhumas (SP)","Total","Total","100.00","33.34","16.42","35.14","15.10"
"Anhumas (SP)","Homens","Total","48.16","16.93","8.82","18.18","4.20"
"Anhumas (SP)","Mulheres","Total","51.84","16.42","7.57","16.96","10.87"
"Aparecida (SP)","Total","Total","100.00","26.67","15.67","41.31","16.35"
"Aparecida (SP)","Homens","Total","47.20","12.52","8.43","19.59","6.66"
"Aparecida (SP)","Mulheres","Total","52.80","14.15","7.24","21.72","9.69"
"Aparecida d'Oeste (SP)","Total","Total","100.00","47.06","12.23","28.66","12.08"
"Aparecida d'Oeste (SP)","Homens","Total","48.32","21.85","7.04","14.33","5.13"
"Aparecida d'Oeste (SP)","Mulheres","Total","51.68","25.21","5.19","14.33","6.95"
"Apiaí (SP)","Total","Total","100.00","37.48","14.60","37.04","10.88"
"Apiaí (SP)","Homens","Total","49.19","19.45","7.71","18.54","3.49"
"Apiaí (SP)","Mulheres","Total","50.81","18.03","6.89","18.49","7.39"
"Araçariguama (SP)","Total","Total","100.00","33.35","24.32","31.93","10.39"
"Araçariguama (SP)","Homens","Total","49.93","17.82","11.90","15.70","4.51"
"Araçariguama (SP)","Mulheres","Total","50.07","15.53","12.43","16.23","5.88"
"Araçatuba (SP)","Total","Total","100.00","23.23","14.72","40.22","21.83"
"Araçatuba (SP)","Homens","Total","46.69","10.80","7.43","19.05","9.41"
"Araçatuba (SP)","Mulheres","Total","53.31","12.43","7.29","21.17","12.42"
"Araçoiaba da Serra (SP)","Total","Total","100.00","25.05","15.88","40.37","18.70"
"Araçoiaba da Serra (SP)","Homens","Total","49.63","12.65","8.40","20.08","8.50"
"Araçoiaba da Serra (SP)","Mulheres","Total","50.37","12.40","7.48","20.29","10.20"
"Aramina (SP)","Total","Total","100.00","37.73","15.75","34.08","12.47"
"Aramina (SP)","Homens","Total","47.93","19.69","8.32","16.22","3.66"
"Aramina (SP)","Mulheres","Total","52.10","18.05","7.41","17.86","8.79"
"Arandu (SP)","Total","Total","100.00","39.91","16.09","37.05","6.95"
"Arandu (SP)","Homens","Total","49.63","20.29","8.69","17.80","2.87"
"Arandu (SP)","Mulheres","Total","50.37","19.64","7.40","19.24","4.08"
"Arapeí (SP)","Total","Total","100.00","41.80","14.92","35.11","8.23"
"Arapeí (SP)","Homens","Total","48.93","21.39","7.68","17.22","2.69"
"Arapeí (SP)","Mulheres","Total","51.01","20.35","7.24","17.88","5.54"
"Araraquara (SP)","Total","Total","100.00","20.57","14.66","41.20","23.57"
"Araraquara (SP)","Homens","Total","47.08","9.31","7.39","19.78","10.61"
"Araraquara (SP)","Mulheres","Total","52.92","11.27","7.27","21.42","12.96"
"Araras (SP)","Total","Total","100.00","25.44","14.99","39.20","20.38"
"Araras (SP)","Homens","Total","47.75","11.86","7.54","19.43","8.91"
"Araras (SP)","Mulheres","Total","52.25","13.58","7.45","19.77","11.46"
"Arco-Íris (SP)","Total","Total","100.00","40.77","12.88","35.83","10.51"
"Arco-Íris (SP)","Homens","Total","49.17","21.15","7.63","16.86","3.59"
"Arco-Íris (SP)","Mulheres","Total","50.83","19.68","5.26","18.97","6.92"
"Arealva (SP)","Total","Total","100.00","40.12","16.09","29.62","14.17"
"Arealva (SP)","Homens","Total","49.57","20.06","8.76","15.67","5.09"
"Arealva (SP)","Mulheres","Total","50.43","20.06","7.33","13.95","9.08"
"Areias (SP)","Total","Total","100.00","37.51","15.90","36.78","9.76"
"Areias (SP)","Homens","Total","49.40","18.54","8.59","18.50","3.77"
"Areias (SP)","Mulheres","Total","50.60","18.98","7.31","18.28","6.00"
"Areiópolis (SP)","Total","Total","100.00","37.94","16.70","37.46","7.89"
"Areiópolis (SP)","Homens","Total","50.35","19.10","9.47","18.53","3.25"
"Areiópolis (SP)","Mulheres","Total","49.65","18.83","7.22","18.93","4.66"
"Ariranha (SP)","Total","Total","100.00","39.07","11.52","36.06","13.35"
"Ariranha (SP)","Homens","Total","49.26","18.57","5.48","20.22","4.99"
"Ariranha (SP)","Mulheres","Total","50.76","20.50","6.06","15.86","8.36"
"Artur Nogueira (SP)","Total","Total","100.00","33.38","18.26","34.85","13.51"
"Artur Nogueira (SP)","Homens","Total","49.06","17.08","9.13","17.10","5.75"
"Artur Nogueira (SP)","Mulheres","Total","50.94","16.30","9.13","17.75","7.76"
"Arujá (SP)","Total","Total","100.00","21.86","14.41","44.95","18.78"
"Arujá (SP)","Homens","Total","47.79","10.34","7.33","21.85","8.26"
"Arujá (SP)","Mulheres","Total","52.21","11.52","7.08","23.10","10.51"
"Aspásia (SP)","Total","Total","100.00","44.96","11.38","28.75","14.92"
"Aspásia (SP)","Homens","Total","49.05","23.23","4.84","15.94","5.04"
"Aspásia (SP)","Mulheres","Total","50.89","21.66","6.54","12.81","9.88"
"Assis (SP)","Total","Total","100.00","21.84","13.22","40.26","24.68"
"Assis (SP)","Homens","Total","47.19","10.30","7.14","19.25","10.51"
"Assis (SP)","Mulheres","Total","52.81","11.54","6.09","21.01","14.17"
"Atibaia (SP)","Total","Total","100.00","25.52","14.30","36.30","23.88"
"Atibaia (SP)","Homens","Total","47.87","12.99","7.18","17.23","10.47"
"Atibaia (SP)","Mulheres","Total","52.13","12.53","7.12","19.07","13.41"
"Auriflama (SP)","Total","Total","100.00","32.97","14.40","37.66","14.98"
"Auriflama (SP)","Homens","Total","48.85","16.51","7.12","19.18","6.04"
"Auriflama (SP)","Mulheres","Total","51.16","16.45","7.27","18.49","8.94"
"Avaí (SP)","Total","Total","100.00","37.89","16.35","35.73","10.03"
"Avaí (SP)","Homens","Total","50.22","19.76","8.02","19.15","3.26"
"Avaí (SP)","Mulheres","Total","49.75","18.10","8.34","16.55","6.76"
"Avanhandava (SP)","Total","Total","100.00","37.77","16.91","33.54","11.76"
"Avanhandava (SP)","Homens","Total","55.84","21.85","10.89","18.44","4.66"
"Avanhandava (SP)","Mulheres","Total","44.15","15.92","6.04","15.10","7.10"
"Avaré (SP)","Total","Total","100.00","27.77","16.52","37.59","18.13"
"Avaré (SP)","Homens","Total","49.05","14.12","8.89","18.67","7.37"
"Avaré (SP)","Mulheres","Total","50.95","13.65","7.63","18.92","10.76"
"Bady Bassitt (SP)","Total","Total","100.00","24.12","15.67","43.26","16.94"
"Bady Bassitt (SP)","Homens","Total","48.26","12.12","8.40","20.85","6.90"
"Bady Bassitt (SP)","Mulheres","Total","51.74","12.01","7.28","22.41","10.04"
"Balbinos (SP)","Total","Total","100.00","52.70","23.11","20.13","4.09"
"Balbinos (SP)","Homens","Total","84.57","47.30","22.05","13.93","1.31"
"Balbinos (SP)","Mulheres","Total","15.43","5.39","1.06","6.20","2.78"
"Bálsamo (SP)","Total","Total","100.00","34.53","15.48","34.68","15.31"
"Bálsamo (SP)","Homens","Total","48.18","16.64","8.91","17.13","5.51"
"Bálsamo (SP)","Mulheres","Total","51.80","17.89","6.57","17.55","9.80"
"Bananal (SP)","Total","Total","100.00","39.15","13.51","34.55","12.78"
"Bananal (SP)","Homens","Total","47.31","19.13","6.27","17.04","4.87"
"Bananal (SP)","Mulheres","Total","52.67","20.03","7.25","17.51","7.89"
"Barão de Antonina (SP)","Total","Total","100.00","42.12","20.72","33.50","3.66"
"Barão de Antonina (SP)","Homens","Total","49.93","20.87","11.05","17.10","0.93"
"Barão de Antonina (SP)","Mulheres","Total","50.07","21.25","9.67","16.39","2.73"
"Barbosa (SP)","Total","Total","100.00","44.01","18.11","29.98","7.90"
"Barbosa (SP)","Homens","Total","47.79","21.69","9.06","14.65","2.42"
"Barbosa (SP)","Mulheres","Total","52.21","22.32","9.06","15.33","5.48"
"Bariri (SP)","Total","Total","100.00","32.99","15.96","33.46","17.59"
"Bariri (SP)","Homens","Total","48.43","15.49","8.17","16.95","7.81"
"Bariri (SP)","Mulheres","Total","51.58","17.50","7.79","16.50","9.78"
"Barra Bonita (SP)","Total","Total","100.00","29.89","15.64","36.09","18.38"
"Barra Bonita (SP)","Homens","Total","47.46","13.64","7.89","18.17","7.77"
"Barra Bonita (SP)","Mulheres","Total","52.54","16.26","7.75","17.92","10.61"
"Barra do Chapéu (SP)","Total","Total","100.00","44.84","14.78","35.27","5.11"
"Barra do Chapéu (SP)","Homens","Total","52.88","24.74","8.67","17.77","1.73"
"Barra do Chapéu (SP)","Mulheres","Total","47.09","20.10","6.11","17.53","3.38"
"Barra do Turvo (SP)","Total","Total","100.00","49.58","13.84","29.77","6.79"
"Barra do Turvo (SP)","Homens","Total","49.97","26.12","7.34","14.23","2.27"
"Barra do Turvo (SP)","Mulheres","Total","50.03","23.46","6.52","15.54","4.52"
"Barretos (SP)","Total","Total","100.00","23.87","17.34","38.88","19.91"
"Barretos (SP)","Homens","Total","47.15","11.60","9.02","18.27","8.26"
"Barretos (SP)","Mulheres","Total","52.85","12.28","8.32","20.61","11.65"
"Barrinha (SP)","Total","Total","100.00","36.71","16.30","35.24","11.76"
"Barrinha (SP)","Homens","Total","48.69","18.87","8.68","16.68","4.45"
"Barrinha (SP)","Mulheres","Total","51.31","17.83","7.61","18.55","7.31"
"Barueri (SP)","Total","Total","100.00","17.55","13.27","47.21","21.98"
"Barueri (SP)","Homens","Total","46.76","7.96","6.75","22.20","9.85"
"Barueri (SP)","Mulheres","Total","53.24","9.59","6.52","25.01","12.13"
"Bastos (SP)","Total","Total","100.00","32.96","16.69","36.10","14.25"
"Bastos (SP)","Homens","Total","48.48","15.15","9.27","18.45","5.61"
"Bastos (SP)","Mulheres","Total","51.52","17.82","7.41","17.65","8.64"
"Batatais (SP)","Total","Total","100.00","32.84","16.62","33.36","17.19"
"Batatais (SP)","Homens","Total","47.84","15.74","8.08","16.30","7.72"
"Batatais (SP)","Mulheres","Total","52.16","17.09","8.53","17.06","9.46"
"Bauru (SP)","Total","Total","100.00","20.50","15.92","39.77","23.81"
"Bauru (SP)","Homens","Total","47.75","9.47","8.51","19.44","10.33"
"Bauru (SP)","Mulheres","Total","52.25","11.03","7.41","20.32","13.48"
"Bebedouro (SP)","Total","Total","100.00","27.57","16.87","34.19","21.37"
"Bebedouro (SP)","Homens","Total","47.61","12.76","8.89","16.58","9.37"
"Bebedouro (SP)","Mulheres","Total","52.39","14.81","7.98","17.61","11.99"
"Bento de Abreu (SP)","Total","Total","100.00","33.90","11.45","42.60","12.05"
"Bento de Abreu (SP)","Homens","Total","48.90","17.50","6.05","19.85","5.50"
"Bento de Abreu (SP)","Mulheres","Total","51.10","16.40","5.40","22.75","6.55"
"Bernardino de Campos (SP)","Total","Total","100.00","34.92","21.27","30.88","12.94"
"Bernardino de Campos (SP)","Homens","Total","53.83","19.45","13.76","15.42","5.20"
"Bernardino de Campos (SP)","Mulheres","Total","46.18","15.46","7.52","15.45","7.74"
"Bertioga (SP)","Total","Total","100.00","30.63","17.66","39.55","12.17"
"Bertioga (SP)","Homens","Total","49.07","16.31","8.57","18.98","5.20"
"Bertioga (SP)","Mulheres","Total","50.93","14.32","9.08","20.56","6.97"
"Bilac (SP)","Total","Total","100.00","31.96","16.63","36.30","15.13"
"Bilac (SP)","Homens","Total","48.88","14.92","9.19","18.30","6.47"
"Bilac (SP)","Mulheres","Total","51.14","17.04","7.44","18.00","8.66"
"Birigui (SP)","Total","Total","100.00","27.20","17.17","37.15","18.48"
"Birigui (SP)","Homens","Total","47.52","12.78","8.74","18.27","7.74"
"Birigui (SP)","Mulheres","Total","52.48","14.42","8.43","18.88","10.74"
"Biritiba Mirim (SP)","Total","Total","100.00","32.70","16.48","40.07","10.75"
"Biritiba Mirim (SP)","Homens","Total","49.44","16.55","8.86","19.99","4.04"
"Biritiba Mirim (SP)","Mulheres","Total","50.56","16.15","7.62","20.08","6.71"
"Boa Esperança do Sul (SP)","Total","Total","100.00","38.68","19.02","33.23","9.08"
"Boa Esperança do Sul (SP)","Homens","Total","48.39","19.34","10.45","16.04","2.55"
"Boa Esperança do Sul (SP)","Mulheres","Total","51.61","19.32","8.56","17.19","6.53"
"Bocaina (SP)","Total","Total","100.00","38.08","16.20","31.25","14.47"
"Bocaina (SP)","Homens","Total","48.26","19.06","7.72","15.45","6.04"
"Bocaina (SP)","Mulheres","Total","51.74","19.03","8.48","15.80","8.43"
"Bofete (SP)","Total","Total","100.00","42.14","15.17","32.44","10.25"
"Bofete (SP)","Homens","Total","50.27","22.13","8.77","15.30","4.08"
"Bofete (SP)","Mulheres","Total","49.74","20.02","6.42","17.13","6.17"
"Boituva (SP)","Total","Total","100.00","25.47","15.02","39.65","19.86"
"Boituva (SP)","Homens","Total","48.59","12.35","8.02","19.12","9.09"
"Boituva (SP)","Mulheres","Total","51.41","13.11","7.00","20.53","10.77"
"Bom Jesus dos Perdões (SP)","Total","Total","100.00","33.64","14.80","38.26","13.30"
"Bom Jesus dos Perdões (SP)","Homens","Total","49.18","17.32","8.23","18.35","5.28"
"Bom Jesus dos Perdões (SP)","Mulheres","Total","50.82","16.32","6.58","19.90","8.02"
"Bom Sucesso de Itararé (SP)","Total","Total","100.00","39.48","16.76","35.09","8.67"
"Bom Sucesso de Itararé (SP)","Homens","Total","50.94","21.31","8.83","18.52","2.32"
"Bom Sucesso de Itararé (SP)","Mulheres","Total","49.06","18.17","7.97","16.56","6.36"
"Borá (SP)","Total","Total","100.00","40.90","10.19","40.32","8.59"
"Borá (SP)","Homens","Total","50.22","22.13","5.09","20.38","2.62"
"Borá (SP)","Mulheres","Total","49.78","18.78","5.09","19.94","5.97"
"Boracéia (SP)","Total","Total","100.00","40.18","17.41","32.29","10.09"
"Boracéia (SP)","Homens","Total","49.87","19.27","10.31","16.54","3.72"
"Boracéia (SP)","Mulheres","Total","50.13","20.91","7.10","15.75","6.37"
"Borborema (SP)","Total","Total","100.00","41.81","16.06","31.51","10.62"
"Borborema (SP)","Homens","Total","49.16","20.57","8.52","16.10","3.97"
"Borborema (SP)","Mulheres","Total","50.83","21.24","7.53","15.41","6.65"
"Borebi (SP)","Total","Total","100.00","40.70","13.48","39.13","6.74"
"Borebi (SP)","Homens","Total","48.76","19.97","7.25","19.16","2.43"
"Borebi (SP)","Mulheres","Total","51.24","20.73","6.23","19.97","4.31"
"Botucatu (SP)","Total","Total","100.00","21.37","14.09","40.25","24.28"
"Botucatu (SP)","Homens","Total","47.24","9.81","7.06","19.78","10.60"
"Botucatu (SP)","Mulheres","Total","52.76","11.57","7.03","20.47","13.69"
"Bragança Paulista (SP)","Total","Total","100.00","24.52","13.98","41.45","20.05"
"Bragança Paulista (SP)","Homens","Total","47.79","11.82","7.06","20.06","8.84"
"Bragança Paulista (SP)","Mulheres","Total","52.21","12.70","6.92","21.38","11.21"
"Braúna (SP)","Total","Total","100.00","36.78","12.18","33.78","17.25"
"Braúna (SP)","Homens","Total","48.74","18.46","6.04","18.20","6.07"
"Braúna (SP)","Mulheres","Total","51.23","18.29","6.14","15.61","11.19"
"Brejo Alegre (SP)","Total","Total","100.00","39.88","16.55","35.04","8.52"
"Brejo Alegre (SP)","Homens","Total","49.55","19.54","9.12","18.00","2.94"
"Brejo Alegre (SP)","Mulheres","Total","50.45","20.34","7.43","17.05","5.63"
"Brodowski (SP)","Total","Total","100.00","33.86","16.02","33.09","17.04"
"Brodowski (SP)","Homens","Total","48.61","16.98","8.66","16.23","6.75"
"Brodowski (SP)","Mulheres","Total","51.39","16.88","7.36","16.86","10.29"
"Brotas (SP)","Total","Total","100.00","35.29","21.51","30.50","12.70"
"Brotas (SP)","Homens","Total","47.51","16.41","11.34","15.00","4.76"
"Brotas (SP)","Mulheres","Total","52.49","18.88","10.16","15.51","7.95"
"Buri (SP)","Total","Total","100.00","41.61","21.47","29.86","7.05"
"Buri (SP)","Homens","Total","49.81","22.16","10.74","14.89","2.01"
"Buri (SP)","Mulheres","Total","50.19","19.44","10.73","14.97","5.04"
"Buritama (SP)","Total","Total","100.00","33.85","13.71","40.21","12.23"
"Buritama (SP)","Homens","Total","48.21","16.33","7.36","19.31","5.22"
"Buritama (SP)","Mulheres","Total","51.78","17.52","6.35","20.90","7.02"
"Buritizal (SP)","Total","Total","100.00","35.88","14.71","32.74","16.65"
"Buritizal (SP)","Homens","Total","48.15","18.50","7.81","15.97","5.87"
"Buritizal (SP)","Mulheres","Total","51.85","17.38","6.90","16.76","10.78"
"Cabrália Paulista (SP)","Total","Total","100.00","38.75","16.95","35.71","8.62"
"Cabrália Paulista (SP)","Homens","Total","50.06","18.40","10.43","17.76","3.47"
"Cabrália Paulista (SP)","Mulheres","Total","49.91","20.33","6.51","17.91","5.13"
"Cabreúva (SP)","Total","Total","100.00","27.88","14.16","47.08","10.88"
"Cabreúva (SP)","Homens","Total","49.14","13.76","7.03","24.08","4.28"
"Cabreúva (SP)","Mulheres","Total","50.86","14.12","7.13","23.00","6.60"
"Caçapava (SP)","Total","Total","100.00","23.68","14.60","44.60","17.13"
"Caçapava (SP)","Homens","Total","48.26","10.71","7.56","22.33","7.67"
"Caçapava (SP)","Mulheres","Total","51.74","12.97","7.04","22.27","9.46"
"Cachoeira Paulista (SP)","Total","Total","100.00","24.92","13.86","44.72","16.51"
"Cachoeira Paulista (SP)","Homens","Total","47.63","11.62","6.81","22.45","6.74"
"Cachoeira Paulista (SP)","Mulheres","Total","52.37","13.29","7.05","22.26","9.77"
"Caconde (SP)","Total","Total","100.00","38.80","13.32","32.84","15.03"
"Caconde (SP)","Homens","Total","49.03","20.43","7.11","15.44","6.06"
"Caconde (SP)","Mulheres","Total","50.96","18.37","6.22","17.41","8.97"
"Cafelândia (SP)","Total","Total","100.00","36.26","16.99","31.73","15.03"
"Cafelândia (SP)","Homens","Total","47.76","18.08","8.94","14.66","6.08"
"Cafelândia (SP)","Mulheres","Total","52.24","18.18","8.05","17.08","8.94"
"Caiabu (SP)","Total","Total","100.00","37.67","11.85","40.05","10.43"
"Caiabu (SP)","Homens","Total","50.07","18.65","6.62","21.74","3.02"
"Caiabu (SP)","Mulheres","Total","49.93","18.99","5.23","18.34","7.40"
"Caieiras (SP)","Total","Total","100.00","23.26","19.36","40.29","17.09"
"Caieiras (SP)","Homens","Total","47.01","10.32","9.37","20.18","7.14"
"Caieiras (SP)","Mulheres","Total","52.99","12.94","9.99","20.11","9.96"
"Caiuá (SP)","Total","Total","100.00","39.02","21.36","30.14","9.46"
"Caiuá (SP)","Homens","Total","62.20","23.83","17.93","16.98","3.46"
"Caiuá (SP)","Mulheres","Total","37.80","15.19","3.44","13.15","6.02"
"Cajamar (SP)","Total","Total","100.00","20.27","12.65","48.15","18.93"
"Cajamar (SP)","Homens","Total","48.42","9.46","6.94","24.07","7.96"
"Cajamar (SP)","Mulheres","Total","51.58","10.81","5.71","24.08","10.97"
"Cajati (SP)","Total","Total","100.00","39.72","14.78","37.36","8.14"
"Cajati (SP)","Homens","Total","50.14","19.62","7.39","19.65","3.48"
"Cajati (SP)","Mulheres","Total","49.86","20.10","7.40","17.71","4.66"
"Cajobi (SP)","Total","Total","100.00","38.65","12.04","36.97","12.33"
"Cajobi (SP)","Homens","Total","49.36","19.50","6.54","19.12","4.21"
"Cajobi (SP)","Mulheres","Total","50.64","19.16","5.50","17.86","8.11"
"Cajuru (SP)","Total","Total","100.00","35.10","17.32","33.58","14.00"
"Cajuru (SP)","Homens","Total","48.92","17.64","9.28","15.55","6.45"
"Cajuru (SP)","Mulheres","Total","51.08","17.46","8.04","18.03","7.55"
"Campina do Monte Alegre (SP)","Total","Total","100.00","37.57","13.44","38.00","10.99"
"Campina do Monte Alegre (SP)","Homens","Total","50.18","19.36","7.05","19.90","3.85"
"Campina do Monte Alegre (SP)","Mulheres","Total","49.82","18.21","6.37","18.10","7.11"
"Campinas (SP)","Total","Total","100.00","20.96","13.75","37.79","27.50"
"Campinas (SP)","Homens","Total","46.74","9.60","6.79","17.95","12.41"
"Campinas (SP)","Mulheres","Total","53.26","11.36","6.96","19.85","15.09"
"Campo Limpo Paulista (SP)","Total","Total","100.00","27.02","13.83","43.73","15.42"
"Campo Limpo Paulista (SP)","Homens","Total","48.05","12.00","7.17","22.20","6.68"
"Campo Limpo Paulista (SP)","Mulheres","Total","51.95","15.02","6.66","21.53","8.74"
"Campos do Jordão (SP)","Total","Total","100.00","33.77","17.65","35.43","13.16"
"Campos do Jordão (SP)","Homens","Total","48.05","16.90","9.34","16.66","5.16"
"Campos do Jordão (SP)","Mulheres","Total","51.95","16.87","8.31","18.78","8.00"
"Campos Novos Paulista (SP)","Total","Total","100.00","41.32","15.05","31.35","12.25"
"Campos Novos Paulista (SP)","Homens","Total","50.46","21.49","7.93","17.28","3.76"
"Campos Novos Paulista (SP)","Mulheres","Total","49.54","19.83","7.15","14.08","8.49"
"Cananéia (SP)","Total","Total","100.00","34.79","15.41","37.60","12.21"
"Cananéia (SP)","Homens","Total","48.27","17.53","8.36","17.70","4.66"
"Cananéia (SP)","Mulheres","Total","51.73","17.26","7.03","19.90","7.55"
"Canas (SP)","Total","Total","100.00","29.35","17.60","44.06","8.99"
"Canas (SP)","Homens","Total","49.28","15.43","8.06","23.05","2.75"
"Canas (SP)","Mulheres","Total","50.69","13.89","9.52","21.04","6.22"
"Cândido Mota (SP)","Total","Total","100.00","33.74","16.39","34.05","15.82"
"Cândido Mota (SP)","Homens","Total","48.04","16.11","8.25","17.52","6.15"
"Cândido Mota (SP)","Mulheres","Total","51.97","17.63","8.14","16.53","9.68"
"Cândido Rodrigues (SP)","Total","Total","100.00","32.79","9.58","47.30","10.33"
"Cândido Rodrigues (SP)","Homens","Total","49.44","15.81","4.68","24.88","4.06"
"Cândido Rodrigues (SP)","Mulheres","Total","50.52","16.98","4.85","22.42","6.27"
"Canitar (SP)","Total","Total","100.00","34.14","17.62","40.80","7.44"
"Canitar (SP)","Homens","Total","49.43","16.04","10.12","20.47","2.81"
"Canitar (SP)","Mulheres","Total","50.57","18.10","7.51","20.32","4.66"
"Capão Bonito (SP)","Total","Total","100.00","36.62","15.28","38.08","10.01"
"Capão Bonito (SP)","Homens","Total","48.76","18.11","7.86","18.73","4.07"
"Capão Bonito (SP)","Mulheres","Total","51.23","18.51","7.43","19.36","5.94"
"Capela do Alto (SP)","Total","Total","100.00","42.20","20.93","29.05","7.81"
"Capela do Alto (SP)","Homens","Total","56.52","24.25","13.51","15.92","2.84"
"Capela do Alto (SP)","Mulheres","Total","43.48","17.95","7.42","13.13","4.97"
"Capivari (SP)","Total","Total","100.00","36.66","22.29","28.62","12.43"
"Capivari (SP)","Homens","Total","48.12","17.66","11.01","13.90","5.56"
"Capivari (SP)","Mulheres","Total","51.88","19.00","11.29","14.72","6.87"
"Caraguatatuba (SP)","Total","Total","100.00","22.36","15.42","44.43","17.79"
"Caraguatatuba (SP)","Homens","Total","47.86","11.35","7.76","21.46","7.29"
"Caraguatatuba (SP)","Mulheres","Total","52.14","11.01","7.66","22.97","10.50"
"Carapicuíba (SP)","Total","Total","100.00","26.43","15.78","43.12","14.67"
"Carapicuíba (SP)","Homens","Total","47.09","12.48","7.89","20.62","6.10"
"Carapicuíba (SP)","Mulheres","Total","52.91","13.95","7.89","22.50","8.57"
"Cardoso (SP)","Total","Total","100.00","42.05","14.18","31.43","12.34"
"Cardoso (SP)","Homens","Total","48.46","20.62","7.70","15.28","4.85"
"Cardoso (SP)","Mulheres","Total","51.54","21.43","6.47","16.14","7.48"
"Casa Branca (SP)","Total","Total","100.00","28.22","15.06","37.87","18.84"
"Casa Branca (SP)","Homens","Total","51.55","16.10","8.53","19.30","7.62"
"Casa Branca (SP)","Mulheres","Total","48.45","12.12","6.54","18.57","11.22"
"Cássia dos Coqueiros (SP)","Total","Total","100.00","37.89","13.85","35.16","13.10"
"Cássia dos Coqueiros (SP)","Homens","Total","50.60","21.17","7.10","17.60","4.72"
"Cássia dos Coqueiros (SP)","Mulheres","Total","49.40","16.72","6.75","17.56","8.38"
"Castilho (SP)","Total","Total","100.00","37.60","15.45","32.98","13.97"
"Castilho (SP)","Homens","Total","49.04","19.08","8.38","16.30","5.28"
"Castilho (SP)","Mulheres","Total","50.96","18.52","7.06","16.69","8.69"
"Catanduva (SP)","Total","Total","100.00","25.45","13.76","39.37","21.42"
"Catanduva (SP)","Homens","Total","47.16","11.70","7.04","18.98","9.44"
"Catanduva (SP)","Mulheres","Total","52.84","13.75","6.72","20.39","11.98"
"Catiguá (SP)","Total","Total","100.00","34.55","14.44","42.45","8.56"
"Catiguá (SP)","Homens","Total","49.58","16.07","8.17","22.30","3.03"
"Catiguá (SP)","Mulheres","Total","50.40","18.48","6.27","20.13","5.52"
"Cedral (SP)","Total","Total","100.00","28.85","17.44","38.21","15.50"
"Cedral (SP)","Homens","Total","48.82","14.71","9.00","18.64","6.48"
"Cedral (SP)","Mulheres","Total","51.18","14.15","8.44","19.58","9.02"
"Cerqueira César (SP)","Total","Total","100.00","35.99","21.14","31.70","11.18"
"Cerqueira César (SP)","Homens","Total","52.65","19.66","11.73","17.09","4.18"
"Cerqueira César (SP)","Mulheres","Total","47.35","16.33","9.41","14.61","7.00"
"Cerquilho (SP)","Total","Total","100.00","24.26","16.74","42.21","16.78"
"Cerquilho (SP)","Homens","Total","48.40","11.32","8.15","21.96","6.98"
"Cerquilho (SP)","Mulheres","Total","51.60","12.94","8.60","20.26","9.80"
"Cesário Lange (SP)","Total","Total","100.00","37.81","17.40","34.04","10.76"
"Cesário Lange (SP)","Homens","Total","51.33","19.85","9.18","18.07","4.23"
"Cesário Lange (SP)","Mulheres","Total","48.67","17.96","8.22","15.97","6.52"
"Charqueada (SP)","Total","Total","100.00","33.20","17.54","38.22","11.04"
"Charqueada (SP)","Homens","Total","49.64","16.61","9.29","19.46","4.28"
"Charqueada (SP)","Mulheres","Total","50.36","16.58","8.26","18.77","6.76"
