codigo_municipio,nome_municipio,ano,situacao_domicilio,variavel,unidade_medida,valor
3503703,Ariranha - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,2784
3503703,Ariranha - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,90
3503802,Artur Nogueira - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,18150
3503802,Artur Nogueira - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,16965
3503802,Artur Nogueira - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1185
3503901,Arujá - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,29348
3503901,Arujá - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,28494
3503901,Arujá - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,854
3503950,Aspásia - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,679
3503950,Aspásia - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,539
3503950,Aspásia - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,140
3504008,Assis - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,38161
3504008,Assis - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,37252
3504008,Assis - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,909
3504107,Atibaia - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,56522
3504107,Atibaia - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,50904
3504107,Atibaia - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,5618
3504206,Auriflama - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,5393
3504206,Auriflama - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,4918
3504206,Auriflama - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,475
3504305,Avaí - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1649
3504305,Avaí - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1126
3504305,Avaí - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,523
3504404,Avanhandava - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,3539
3504404,Avanhandava - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,3416
3504404,Avanhandava - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,123
3504503,Avaré - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,33478
3504503,Avaré - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,32281
3504503,Avaré - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1197
3504602,Bady Bassitt - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,9958
3504602,Bady Bassitt - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,9535
3504602,Bady Bassitt - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,423
3504701,Balbinos - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,542
3504701,Balbinos - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,502
3504701,Balbinos - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,40
3504800,Bálsamo - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,3708
3504800,Bálsamo - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,3452
3504800,Bálsamo - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,256
3504909,Bananal - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,3710
3504909,Bananal - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,3041
3504909,Bananal - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,669
3505005,Barão de Antonina - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1336
3505005,Barão de Antonina - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,903
3505005,Barão de Antonina - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,433
3505104,Barbosa - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,2110
3505104,Barbosa - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1940
3505104,Barbosa - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,170
3505203,Bariri - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,11749
3505203,Bariri - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,11348
3505203,Bariri - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,401
3505302,Barra Bonita - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,12894
3505302,Barra Bonita - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,12727
3505302,Barra Bonita - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,167
3505351,Barra do Chapéu - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1876
3505351,Barra do Chapéu - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,701
3505351,Barra do Chapéu - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1175
3505401,Barra do Turvo - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,2575
3505401,Barra do Turvo - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1165
3505401,Barra do Turvo - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1410
3505500,Barretos - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,46316
3505500,Barretos - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,44985
3505500,Barretos - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1331
3505609,Barrinha - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,11196
3505609,Barrinha - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,11126
3505609,Barrinha - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,70
3505708,Barueri - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,109460
3505708,Barueri - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,109428
3505708,Barueri - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,32
3505807,Bastos - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,7537
3505807,Bastos - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,6611
3505807,Bastos - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,926
3505906,Batatais - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,21423
3505906,Batatais - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,20860
3505906,Batatais - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,563
3506003,Bauru - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,140033
3506003,Bauru - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,138790
3506003,Bauru - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1243
3506102,Bebedouro - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,28032
3506102,Bebedouro - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,27086
3506102,Bebedouro - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,946
3506201,Bento de Abreu - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,929
3506201,Bento de Abreu - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,853
3506201,Bento de Abreu - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,76
3506300,Bernardino de Campos - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,3884
3506300,Bernardino de Campos - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,3558
3506300,Bernardino de Campos - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,326
3506359,Bertioga - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,22728
3506359,Bertioga - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,22529
3506359,Bertioga - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,199
3506409,Bilac - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,2798
3506409,Bilac - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,2625
3506409,Bilac - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,173
3506508,Birigui - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,45368
3506508,Birigui - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,44519
3506508,Birigui - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,849
3506607,Biritiba Mirim - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,10436
3506607,Biritiba Mirim - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,8516
3506607,Biritiba Mirim - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1920
3506706,Boa Esperança do Sul - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,4655
3506706,Boa Esperança do Sul - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,4379
3506706,Boa Esperança do Sul - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,276
3506805,Bocaina - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,4079
3506805,Bocaina - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,3884
3506805,Bocaina - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,195
3506904,Bofete - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,3940
3506904,Bofete - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,2788
3506904,Bofete - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1152
3507001,Boituva - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,21719
3507001,Boituva - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,20922
3507001,Boituva - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,797
3507100,Bom Jesus dos Perdões - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,7725
3507100,Bom Jesus dos Perdões - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,7169
3507100,Bom Jesus dos Perdões - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,556
3507159,Bom Sucesso de Itararé - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1175
3507159,Bom Sucesso de Itararé - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,809
3507159,Bom Sucesso de Itararé - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,366
3507209,Borá - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,322
3507209,Borá - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,268
3507209,Borá - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,54
3507308,Boracéia - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1635
3507308,Boracéia - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1535
3507308,Boracéia - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,100
3507407,Borborema - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,5483
3507407,Borborema - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,5088
3507407,Borborema - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,395
3507456,Borebi - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,966
3507456,Borebi - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,839
3507456,Borebi - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,127
3507506,Botucatu - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,54424
3507506,Botucatu - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,52832
3507506,Botucatu - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1592
3507605,Bragança Paulista - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,63444
3507605,Bragança Paulista - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,59116
3507605,Bragança Paulista - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,4328
3507704,Braúna - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1965
3507704,Braúna - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1785
3507704,Braúna - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,180
3507753,Brejo Alegre - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,962
3507753,Brejo Alegre - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,834
3507753,Brejo Alegre - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,128
3507803,Brodowski - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,8879
3507803,Brodowski - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,8657
3507803,Brodowski - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,222
3507902,Brotas - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,8624
3507902,Brotas - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,8000
3507902,Brotas - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,624
3508009,Buri - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,6972
3508009,Buri - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,5761
3508009,Buri - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1211
3508108,Buritama - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,6694
3508108,Buritama - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,6342
3508108,Buritama - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,352
3508207,Buritizal - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1661
3508207,Buritizal - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1444
3508207,Buritizal - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,217
3508306,Cabrália Paulista - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1597
3508306,Cabrália Paulista - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1329
3508306,Cabrália Paulista - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,268
3508405,Cabreúva - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,15550
3508405,Cabreúva - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,14372
3508405,Cabreúva - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1178
3508504,Caçapava - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,33656
3508504,Caçapava - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,32557
3508504,Caçapava - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1099
3508603,Cachoeira Paulista - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,10905
3508603,Cachoeira Paulista - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,10088
3508603,Cachoeira Paulista - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,817
3508702,Caconde - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,6212
3508702,Caconde - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,4340
