Cod_mun;municipios;PIB;Ano
3514924;Elisiário;R$ 121.970.552,;2023
3514957;Embaúba;R$ 93.031.653,;2023
3515004;Embu das Artes;R$ 17.290.649.652,;2023
3515103;Embu-Guaçu;R$ 1.742.920.008,;2023
3515129;Emilianópolis;R$ 97.865.943,;2023
3515152;Engenheiro Coelho;R$ 814.390.123,;2023
3515186;Espírito Santo do Pinhal;R$ 2.715.247.127,;2023
3515194;Espírito Santo do Turvo;R$ 181.809.326,;2023
3557303;Estiva Gerbi;R$ 532.211.875,;2023
3515301;Estrela do Norte;R$ 69.691.794,;2023
3515202;Estrela d'Oeste;R$ 1.317.162.584,;2023
3515350;Euclides da Cunha Paulista;R$ 162.208.418,;2023
3515400;Fartura;R$ 566.394.766,;2023
3515608;Fernando Prestes;R$ 281.661.783,;2023
3515509;Fernandópolis;R$ 2.790.708.100,;2023
3515657;Fernão;R$ 102.634.371,;2023
3515707;Ferraz de Vasconcelos;R$ 5.523.980.573,;2023
3515806;Flora Rica;R$ 65.664.783,;2023
3515905;Floreal;R$ 131.171.272,;2023
3516002;Flórida Paulista;R$ 361.684.346,;2023
3516101;Florínea;R$ 216.161.178,;2023
3516200;Franca;R$ 14.375.667.458,;2023
3516309;Francisco Morato;R$ 2.237.469.166,;2023
3516408;Franco da Rocha;R$ 5.438.088.812,;2023
3516507;Gabriel Monteiro;R$ 123.955.929,;2023
3516606;Gália;R$ 220.849.140,;2023
3516705;Garça;R$ 1.893.765.629,;2023
3516804;Gastão Vidigal;R$ 101.942.077,;2023
3516853;Gavião Peixoto;R$ 1.735.632.823,;2023
3516903;General Salgado;R$ 348.923.464,;2023
3517000;Getulina;R$ 272.840.621,;2023
3517109;Glicério;R$ 188.391.507,;2023
3517208;Guaiçara;R$ 310.852.418,;2023
3517307;Guaimbê;R$ 593.772.310,;2023
3517406;Guaíra;R$ 3.233.958.320,;2023
3517505;Guapiaçu;R$ 1.134.076.670,;2023
3517604;Guapiara;R$ 585.182.465,;2023
3517703;Guará;R$ 854.714.843,;2023
3517802;Guaraçaí;R$ 374.454.285,;2023
3517901;Guaraci;R$ 660.485.534,;2023
3518008;Guarani d'Oeste;R$ 48.665.285,;2023
3518107;Guarantã;R$ 312.045.476,;2023
3518206;Guararapes;R$ 1.718.487.879,;2023
3518305;Guararema;R$ 2.034.662.745,;2023
3518404;Guaratinguetá;R$ 8.369.820.871,;2023
3518503;Guareí;R$ 386.201.340,;2023
3518602;Guariba;R$ 1.517.993.918,;2023
3518701;Guarujá;R$ 11.536.359.008,;2023
3518800;Guarulhos;R$ 97.557.673.612,;2023
3518859;Guatapará;R$ 353.798.145,;2023
3518909;Guzolândia;R$ 120.155.836,;2023
3519006;Herculândia;R$ 552.689.427,;2023
3519055;Holambra;R$ 1.806.633.110,;2023
3519071;Hortolândia;R$ 22.163.924.356,;2023
3519105;Iacanga;R$ 687.530.477,;2023
3519204;Iacri;R$ 372.133.574,;2023
3519253;Iaras;R$ 326.006.583,;2023
3519303;Ibaté;R$ 1.516.837.474,;2023
3519402;Ibirá;R$ 418.177.801,;2023
3519501;Ibirarema;R$ 331.386.983,;2023
3519600;Ibitinga;R$ 2.528.835.327,;2023
3519709;Ibiúna;R$ 3.023.500.924,;2023
3519808;Icém;R$ 263.931.834,;2023
3519907;Iepê;R$ 503.731.726,;2023
3520004;Igaraçu do Tietê;R$ 477.976.018,;2023
3520103;Igarapava;R$ 1.422.122.446,;2023
3520202;Igaratá;R$ 353.163.257,;2023
3520301;Iguape;R$ 1.896.850.188,;2023
3520426;Ilha Comprida;R$ 2.802.536.357,;2023
3520442;Ilha Solteira;R$ 917.731.981,;2023
3520400;Ilhabela;R$ 14.830.714.927,;2023
3520509;Indaiatuba;R$ 28.264.863.052,;2023
3520608;Indiana;R$ 99.885.601,;2023
3520707;Indiaporã;R$ 167.087.329,;2023
3520806;Inúbia Paulista;R$ 176.722.809,;2023
3520905;Ipaussu;R$ 678.117.975,;2023
3521002;Iperó;R$ 1.291.002.665,;2023
3521101;Ipeúna;R$ 1.055.775.919,;2023
3521150;Ipiguá;R$ 173.090.620,;2023
3521200;Iporanga;R$ 70.828.696,;2023
3521309;Ipuã;R$ 589.809.580,;2023
3521408;Iracemápolis;R$ 2.403.777.589,;2023
3521507;Irapuã;R$ 282.415.637,;2023
3521606;Irapuru;R$ 142.421.744,;2023
3521705;Itaberá;R$ 1.058.158.523,;2023
3521804;Itaí;R$ 1.082.752.493,;2023
3521903;Itajobi;R$ 1.278.534.349,;2023
3522000;Itaju;R$ 308.304.551,;2023
3522109;Itanhaém;R$ 2.956.406.115,;2023
3522158;Itaoca;R$ 67.981.734,;2023
3522208;Itapecerica da Serra;R$ 6.215.133.643,;2023
3522307;Itapetininga;R$ 7.962.801.863,;2023
3522406;Itapeva;R$ 4.558.511.821,;2023
3522505;Itapevi;R$ 15.615.097.192,;2023
3522604;Itapira;R$ 6.365.973.525,;2023
3522653;Itapirapuã Paulista;R$ 77.308.055,;2023
3522703;Itápolis;R$ 2.524.858.407,;2023
3522802;Itaporanga;R$ 408.306.917,;2023
3522901;Itapuí;R$ 1.311.337.801,;2023
