id_municipio,municipio,populacao_2022,pib_2022,pib_per_capita_2022,taxa_alfabetizacao,anos_medios_estudo,pct_ensino_medio,pct_ensino_superior
3528908,Mariápolis,3513,69905743.0,19899.15826928551,0.9474948524365134,9.3,0.5012649078424286,0.12432237079869896
3529005,Marília,237627,11020231383.0,46376.175194737974,0.9737082129168461,10.8,0.6365339528310976,0.23261677140318385
3529104,Marinópolis,1860,42489826.0,22843.99247311828,0.8970679975046787,9.0,0.4697855750487329,0.10071474983755685
3529203,Martinópolis,24881,766182395.0,30793.87464330212,0.9408771504724982,9.5,0.5087772550209946,0.14493853392016998
3529302,Matão,79033,6187823911.0,78294.17978565916,0.96260066427044,9.9,0.5773319453644995,0.16395381849153023
3529401,Mauá,418261,24111460530.0,57646.92507788199,0.9673939849447465,10.2,0.6146643218561026,0.1496637048006911
3529500,Mendonça,6159,474541432.0,77048.45461925637,0.9481393507521774,9.1,0.48479205462445685,0.12456031450444859
3529609,Meridiano,4572,399566164.0,87394.17410323709,0.9433912585571353,9.3,0.5044370493621742,0.13921242373821408
3529658,Mesópolis,1952,78851943.0,40395.46260245902,0.8896595208070618,8.4,0.45195493704440026,0.09078860172299535
3529708,Miguelópolis,19441,1079728834.0,55538.74975567101,0.9254611142802814,8.9,0.44972198030414684,0.12514235948281638
3529807,Mineiros do Tietê,11230,255740214.0,22772.94870881567,0.9410871216230877,8.7,0.43363233791302375,0.10537072783013512
3529906,Miracatu,18553,471305511.0,25403.196841481164,0.9209445585215605,8.3,0.42853017614784866,0.10063528732313023
3530003,Mira Estrela,3126,67283145.0,21523.718809980805,0.9456771231828616,8.6,0.4517022961203484,0.13064133016627077
3530102,Mirandópolis,27983,788259463.0,28169.226423185504,0.9526985047425754,9.6,0.4816803401915725,0.1346162106438727
3530201,Mirante do Paranapanema,15917,585090332.0,36758.83219199598,0.9173503028444376,9.2,0.5159441349802212,0.1332041656575442
3530300,Mirassol,63337,3039964543.0,47996.66139855061,0.9718023088300263,10.3,0.5965582405210889,0.21235575569940895
3530409,Mirassolândia,4669,209298604.0,44827.28721353609,0.9529689963215975,8.4,0.39813289401427787,0.09555189456342669
3530508,Mococa,67681,3478085054.0,51389.38629748378,0.9642476933995742,9.9,0.5506605463502016,0.15778474399164055
3530607,Mogi das Cruzes,451505,22702759066.0,50282.40897885959,0.9706623276866023,10.7,0.6596355633496118,0.22786000894251818
3530706,Mogi Guaçu,153658,8182932159.0,53254.18890653269,0.9719042005237798,10.2,0.5826249067859806,0.16802551992708592
