id_municipio,municipio,populacao_media_2022_2025,municipio_chave
3521200,Iporanga,4066.5,IPORANGA
3521309,Ipuã,14575.0,IPUA
3521408,Iracemápolis,22217.25,IRACEMAPOLIS
3521507,Irapuã,6903.0,IRAPUA
3521606,Irapuru,7108.75,IRAPURU
3521705,Itaberá,18121.75,ITABERA
3521804,Itaí,25567.25,ITAI
3521903,Itajobi,17225.0,ITAJOBI
3522000,Itaju,3663.25,ITAJU
3522109,Itanhaém,115220.5,ITANHAEM
3522158,Itaóca,3457.75,ITAOCA
3522208,Itapecerica da Serra,160993.75,ITAPECERICA DA SERRA
3522307,Itapetininga,160902.5,ITAPETININGA
3522406,Itapeva,91043.25,ITAPEVA
3522505,Itapevi,237378.25,ITAPEVI
3522604,Itapira,73000.25,ITAPIRA
3522653,Itapirapuã Paulista,4359.25,ITAPIRAPUA PAULISTA
3522703,Itápolis,39973.75,ITAPOLIS
3522802,Itaporanga,14168.75,ITAPORANGA
3522901,Itapuí,13834.25,ITAPUI
3523008,Itapura,3993.5,ITAPURA
3523107,Itaquaquecetuba,376013.5,ITAQUAQUECETUBA
3523206,Itararé,44854.0,ITARARE
3523305,Itariri,15683.5,ITARIRI
3523404,Itatiba,124173.75,ITATIBA
3523503,Itatinga,19257.25,ITATINGA
3523602,Itirapina,16295.75,ITIRAPINA
3523701,Itirapuã,5819.0,ITIRAPUA
3523800,Itobi,8132.25,ITOBI
3523909,Itu,171522.0,ITU
3524006,Itupeva,72586.25,ITUPEVA
3524105,Ituverava,38001.5,ITUVERAVA
3524204,Jaborandi,6253.75,JABORANDI
3524303,Jaboticabal,72645.5,JABOTICABAL
3524402,Jacareí,245367.5,JACAREI
3524501,Jaci,7762.0,JACI
3524600,Jacupiranga,16166.0,JACUPIRANGA
3524709,Jaguariúna,60701.0,JAGUARIUNA
3524808,Jales,49411.75,JALES
3524907,Jambeiro,6495.0,JAMBEIRO
3525003,Jandira,119907.0,JANDIRA
3525102,Jardinópolis,46139.25,JARDINOPOLIS
3525201,Jarinu,38652.0,JARINU
3525300,Jaú,135431.5,JAU
3525409,Jeriquara,3925.5,JERIQUARA
3525508,Joanópolis,12964.0,JOANOPOLIS
3525607,João Ramalho,4415.5,JOAO RAMALHO
3525706,José Bonifácio,37279.25,JOSE BONIFACIO
3525805,Júlio Mesquita,4279.5,JULIO MESQUITA
3525854,Jumirim,3091.75,JUMIRIM
3525904,Jundiaí,452448.5,JUNDIAI
3526001,Junqueirópolis,20678.25,JUNQUEIROPOLIS
3526100,Juquiá,17186.75,JUQUIA
3526209,Juquitiba,27696.0,JUQUITIBA
3526308,Lagoinha,5132.75,LAGOINHA
3526407,Laranjal Paulista,26643.75,LARANJAL PAULISTA
3526506,Lavínia,9806.75,LAVINIA
3526605,Lavrinhas,7254.5,LAVRINHAS
3526704,Leme,99793.75,LEME
3526803,Lençóis Paulista,67493.25,LENCOIS PAULISTA
3526902,Limeira,296439.5,LIMEIRA
3527009,Lindóia,7083.25,LINDOIA
3527108,Lins,75782.75,LINS
3527207,Lorena,86137.0,LORENA
3527256,Lourdes,1957.5,LOURDES
3527306,Louveira,53167.5,LOUVEIRA
3527405,Lucélia,20218.0,LUCELIA
3527504,Lucianópolis,2396.5,LUCIANOPOLIS
3527603,Luís Antônio,12406.25,LUIS ANTONIO
3527702,Luiziânia,4723.25,LUIZIANIA
3527801,Lupércio,3995.75,LUPERCIO
3527900,Lutécia,2679.5,LUTECIA
3528007,Macatuba,16979.5,MACATUBA
3528106,Macaubal,7532.5,MACAUBAL
3528205,Macedônia,4008.0,MACEDONIA
3528304,Magda,3188.25,MAGDA
3528403,Mairinque,50900.5,MAIRINQUE
3528502,Mairiporã,95735.0,MAIRIPORA
3528601,Manduri,9989.0,MANDURI
3528700,Marabá Paulista,4598.0,MARABA PAULISTA
3528809,Maracaí,12744.0,MARACAI
3528858,Marapoama,3347.75,MARAPOAMA
3528908,Mariápolis,3522.75,MARIAPOLIS
3529005,Marília,242307.25,MARILIA
3529104,Marinópolis,1863.0,MARINOPOLIS
3529203,Martinópolis,25075.25,MARTINOPOLIS
3529302,Matão,80034.75,MATAO
3529401,Mauá,423729.0,MAUA
3529500,Mendonça,6276.75,MENDONCA
3529609,Meridiano,4640.5,MERIDIANO
3529658,Mesópolis,1970.5,MESOPOLIS
3529708,Miguelópolis,19539.5,MIGUELOPOLIS
3529807,Mineiros do Tietê,11282.75,MINEIROS DO TIETE
3529906,Miracatu,18598.75,MIRACATU
3530003,Mira Estrela,3165.0,MIRA ESTRELA
3530102,Mirandópolis,28364.25,MIRANDOPOLIS
3530201,Mirante do Paranapanema,15983.5,MIRANTE DO PARANAPANEMA
3530300,Mirassol,64492.5,MIRASSOL
3530409,Mirassolândia,4723.0,MIRASSOLANDIA
3530508,Mococa,68514.5,MOCOCA
3530607,Mogi das Cruzes,460358.0,MOGI DAS CRUZES
3530706,Mogi Guaçu,156842.25,MOGI GUACU
3530805,Mogi Mirim,94098.0,MOGI MIRIM
3530904,Mombuca,3772.25,MOMBUCA
3531001,Monções,1943.75,MONCOES
3531100,Mongaguá,63316.5,MONGAGUA
3531209,Monte Alegre do Sul,8762.5,MONTE ALEGRE DO SUL
3531308,Monte Alto,48157.75,MONTE ALTO
3531407,Monte Aprazível,22469.5,MONTE APRAZIVEL
3531506,Monte Azul Paulista,18250.5,MONTE AZUL PAULISTA
3531605,Monte Castelo,4262.75,MONTE CASTELO
3531704,Monteiro Lobato,4171.5,MONTEIRO LOBATO
3531803,Monte Mor,66113.0,MONTE MOR
3531902,Morro Agudo,28237.0,MORRO AGUDO
3532009,Morungaba,13917.0,MORUNGABA
3532058,Motuca,4054.5,MOTUCA
3532108,Murutinga do Sul,3746.25,MURUTINGA DO SUL
3532157,Nantes,2679.0,NANTES
3532207,Narandiba,5822.5,NARANDIBA
3532306,Natividade da Serra,7071.75,NATIVIDADE DA SERRA
3532405,Nazaré Paulista,18432.25,NAZARE PAULISTA
3532504,Neves Paulista,9818.0,NEVES PAULISTA
3532603,Nhandeara,9890.75,NHANDEARA
3532702,Nipoã,4809.0,NIPOA
3532801,Nova Aliança,6782.25,NOVA ALIANCA
3532827,Nova Campina,8563.75,NOVA CAMPINA
3532843,Nova Canaã Paulista,2044.25,NOVA CANAA PAULISTA
3532868,Nova Castilho,1067.5,NOVA CASTILHO
3532900,Nova Europa,9385.0,NOVA EUROPA
3533007,Nova Granada,19574.0,NOVA GRANADA
3533106,Nova Guataporanga,2172.0,NOVA GUATAPORANGA
3533205,Nova Independência,4715.0,NOVA INDEPENDENCIA
3533254,Novais,4439.0,NOVAIS
3533304,Nova Luzitânia,2832.25,NOVA LUZITANIA
3533403,Nova Odessa,63215.5,NOVA ODESSA
3533502,Novo Horizonte,38894.25,NOVO HORIZONTE
3533601,Nuporanga,7475.5,NUPORANGA
3533700,Ocauçu,4373.0,OCAUCU
3533809,Óleo,2524.75,OLEO
3533908,Olímpia,55930.75,OLIMPIA
3534005,Onda Verde,4849.0,ONDA VERDE
3534104,Oriente,6132.5,ORIENTE
3534203,Orindiúva,6087.5,ORINDIUVA
3534302,Orlândia,38743.75,ORLANDIA
3534401,Osasco,743426.5,OSASCO
3534500,Oscar Bressane,2486.5,OSCAR BRESSANE
3534609,Osvaldo Cruz,31688.75,OSVALDO CRUZ
3534708,Ourinhos,105432.0,OURINHOS
3534757,Ouroeste,10461.0,OUROESTE
3534807,Ouro Verde,7839.75,OURO VERDE
3534906,Pacaembu,15061.0,PACAEMBU
3535002,Palestina,11586.25,PALESTINA
3535101,Palmares Paulista,9668.75,PALMARES PAULISTA
3535200,Palmeira d'Oeste,8942.75,PALMEIRA DOESTE
3535309,Palmital,19667.25,PALMITAL
3535408,Panorama,15092.25,PANORAMA
3535507,Paraguaçu Paulista,41594.0,PARAGUACU PAULISTA
3535606,Paraibuna,17810.75,PARAIBUNA
3535705,Paraíso,6156.75,PARAISO
3535804,Paranapanema,19610.5,PARANAPANEMA
3535903,Paranapuã,4072.75,PARANAPUA
3536000,Parapuã,10652.25,PARAPUA
3536109,Pardinho,7280.75,PARDINHO
3536208,Pariquera-Açu,19411.25,PARIQUERA ACU
3536257,Parisi,2953.75,PARISI
3536307,Patrocínio Paulista,14687.25,PATROCINIO PAULISTA
3536406,Paulicéia,8091.25,PAULICEIA
3536505,Paulínia,113359.5,PAULINIA
3536570,Paulistânia,2120.5,PAULISTANIA
3536604,Paulo de Faria,7405.0,PAULO DE FARIA
3536703,Pederneiras,45553.5,PEDERNEIRAS
3536802,Pedra Bela,6644.25,PEDRA BELA
3536901,Pedranópolis,2819.5,PEDRANOPOLIS
3537008,Pedregulho,15632.25,PEDREGULHO
3537107,Pedreira,43735.25,PEDREIRA
3537156,Pedrinhas Paulista,2819.75,PEDRINHAS PAULISTA
3537206,Pedro de Toledo,11429.5,PEDRO DE TOLEDO
3537305,Penápolis,62525.25,PENAPOLIS
3537404,Pereira Barreto,24234.75,PEREIRA BARRETO
3537503,Pereiras,8864.0,PEREIRAS
3537602,Peruíbe,69469.0,PERUIBE
3537701,Piacatu,5573.0,PIACATU
3537800,Piedade,53610.75,PIEDADE
3537909,Pilar do Sul,28028.5,PILAR DO SUL
