id_municipio,municipio,ano,n_consumado,n_tentativa,n_outro,n_total
3504701,Balbinos,2025,0,0,0,0
3504800,Bálsamo,2022,0,0,0,0
3504800,Bálsamo,2023,1,0,0,1
3504800,Bálsamo,2024,1,0,0,1
3504800,Bálsamo,2025,0,0,0,0
3504909,Bananal,2022,0,0,0,0
3504909,Bananal,2023,0,0,0,0
3504909,Bananal,2024,0,0,0,0
3504909,Bananal,2025,0,0,0,0
3505005,Barão de Antonina,2022,0,0,0,0
3505005,Barão de Antonina,2023,0,0,0,0
3505005,Barão de Antonina,2024,0,0,0,0
3505005,Barão de Antonina,2025,0,0,0,0
3505104,Barbosa,2022,0,0,0,0
3505104,Barbosa,2023,0,0,0,0
3505104,Barbosa,2024,0,0,0,0
3505104,Barbosa,2025,0,0,0,0
3505203,Bariri,2022,0,0,0,0
3505203,Bariri,2023,0,0,0,0
3505203,Bariri,2024,0,1,0,1
3505203,Bariri,2025,0,0,0,0
3505302,Barra Bonita,2022,0,0,0,0
3505302,Barra Bonita,2023,0,0,0,0
3505302,Barra Bonita,2024,0,0,0,0
3505302,Barra Bonita,2025,0,0,0,0
3505351,Barra do Chapéu,2022,0,0,0,0
3505351,Barra do Chapéu,2023,0,0,0,0
3505351,Barra do Chapéu,2024,0,0,0,0
3505351,Barra do Chapéu,2025,0,0,0,0
3505401,Barra do Turvo,2022,0,1,0,1
3505401,Barra do Turvo,2023,0,0,0,0
3505401,Barra do Turvo,2024,0,0,0,0
3505401,Barra do Turvo,2025,0,0,0,0
3505500,Barretos,2022,0,0,0,0
3505500,Barretos,2023,1,0,0,1
3505500,Barretos,2024,0,4,0,4
3505500,Barretos,2025,0,1,0,1
3505609,Barrinha,2022,0,0,0,0
3505609,Barrinha,2023,0,0,0,0
3505609,Barrinha,2024,0,1,0,1
3505609,Barrinha,2025,0,0,0,0
3505708,Barueri,2022,0,4,0,4
3505708,Barueri,2023,1,3,0,4
3505708,Barueri,2024,2,3,0,5
3505708,Barueri,2025,1,1,0,2
3505807,Bastos,2022,0,0,0,0
3505807,Bastos,2023,1,0,0,1
3505807,Bastos,2024,0,0,0,0
3505807,Bastos,2025,0,1,0,1
3505906,Batatais,2022,0,0,0,0
3505906,Batatais,2023,0,0,0,0
3505906,Batatais,2024,1,2,0,3
3505906,Batatais,2025,0,1,0,1
3506003,Bauru,2022,0,1,0,1
3506003,Bauru,2023,3,0,0,3
3506003,Bauru,2024,1,3,0,4
3506003,Bauru,2025,0,1,0,1
3506102,Bebedouro,2022,0,3,0,3
3506102,Bebedouro,2023,0,0,0,0
3506102,Bebedouro,2024,0,0,0,0
3506102,Bebedouro,2025,0,0,0,0
3506201,Bento de Abreu,2022,0,0,0,0
3506201,Bento de Abreu,2023,1,0,0,1
3506201,Bento de Abreu,2024,0,0,0,0
3506201,Bento de Abreu,2025,0,0,0,0
3506300,Bernardino de Campos,2022,0,0,0,0
3506300,Bernardino de Campos,2023,0,0,0,0
3506300,Bernardino de Campos,2024,0,1,0,1
3506300,Bernardino de Campos,2025,0,0,0,0
3506359,Bertioga,2022,0,0,0,0
3506359,Bertioga,2023,0,0,0,0
3506359,Bertioga,2024,0,1,0,1
3506359,Bertioga,2025,0,1,0,1
3506409,Bilac,2022,0,0,0,0
3506409,Bilac,2023,0,0,0,0
3506409,Bilac,2024,0,0,0,0
3506409,Bilac,2025,0,0,0,0
3506508,Birigui,2022,0,2,0,2
3506508,Birigui,2023,1,0,0,1
3506508,Birigui,2024,0,1,0,1
3506508,Birigui,2025,0,1,0,1
3506607,Biritiba-Mirim,2022,0,0,0,0
3506607,Biritiba-Mirim,2023,0,0,0,0
3506607,Biritiba-Mirim,2024,0,0,0,0
3506607,Biritiba-Mirim,2025,0,0,0,0
3506706,Boa Esperança do Sul,2022,0,1,0,1
3506706,Boa Esperança do Sul,2023,0,0,0,0
3506706,Boa Esperança do Sul,2024,1,0,0,1
3506706,Boa Esperança do Sul,2025,1,0,0,1
3506805,Bocaina,2022,0,0,0,0
3506805,Bocaina,2023,0,0,0,0
3506805,Bocaina,2024,0,0,0,0
3506805,Bocaina,2025,0,0,0,0
3506904,Bofete,2022,0,1,0,1
3506904,Bofete,2023,0,0,0,0
3506904,Bofete,2024,0,0,0,0
3506904,Bofete,2025,0,0,0,0
3507001,Boituva,2022,0,3,0,3
3507001,Boituva,2023,1,0,0,1
3507001,Boituva,2024,4,1,0,5
3507001,Boituva,2025,0,0,0,0
3507100,Bom Jesus dos Perdões,2022,0,0,0,0
3507100,Bom Jesus dos Perdões,2023,0,0,0,0
3507100,Bom Jesus dos Perdões,2024,0,0,0,0
3507100,Bom Jesus dos Perdões,2025,0,0,0,0
3507159,Bom Sucesso de Itararé,2022,0,0,0,0
3507159,Bom Sucesso de Itararé,2023,0,0,0,0
3507159,Bom Sucesso de Itararé,2024,0,0,0,0
3507159,Bom Sucesso de Itararé,2025,0,0,0,0
3507209,Borá,2022,0,0,0,0
3507209,Borá,2023,0,0,0,0
3507209,Borá,2024,0,0,0,0
3507209,Borá,2025,0,0,0,0
3507308,Boracéia,2022,0,0,0,0
3507308,Boracéia,2023,0,0,0,0
3507308,Boracéia,2024,0,0,0,0
3507308,Boracéia,2025,0,0,0,0
3507407,Borborema,2022,0,1,0,1
3507407,Borborema,2023,0,0,0,0
3507407,Borborema,2024,0,0,0,0
3507407,Borborema,2025,0,0,0,0
3507456,Borebi,2022,0,0,0,0
3507456,Borebi,2023,0,0,0,0
3507456,Borebi,2024,0,0,0,0
3507456,Borebi,2025,0,0,0,0
3507506,Botucatu,2022,0,2,0,2
3507506,Botucatu,2023,0,3,0,3
3507506,Botucatu,2024,1,1,0,2
3507506,Botucatu,2025,0,0,0,0
3507605,Bragança Paulista,2022,0,1,0,1
3507605,Bragança Paulista,2023,0,2,0,2
3507605,Bragança Paulista,2024,0,0,0,0
3507605,Bragança Paulista,2025,1,1,0,2
3507704,Braúna,2022,0,1,0,1
3507704,Braúna,2023,0,0,0,0
3507704,Braúna,2024,0,0,0,0
3507704,Braúna,2025,0,0,0,0
3507753,Brejo Alegre,2022,0,0,0,0
3507753,Brejo Alegre,2023,0,0,0,0
3507753,Brejo Alegre,2024,0,0,0,0
3507753,Brejo Alegre,2025,0,0,0,0
3507803,Brodowski,2022,0,0,0,0
3507803,Brodowski,2023,0,0,0,0
3507803,Brodowski,2024,1,0,0,1
3507803,Brodowski,2025,0,0,0,0
3507902,Brotas,2022,0,0,0,0
3507902,Brotas,2023,0,0,0,0
3507902,Brotas,2024,0,0,0,0
3507902,Brotas,2025,0,0,0,0
3508009,Buri,2022,0,0,0,0
3508009,Buri,2023,0,0,0,0
3508009,Buri,2024,0,0,0,0
3508009,Buri,2025,0,0,0,0
3508108,Buritama,2022,0,0,0,0
3508108,Buritama,2023,1,0,0,1
3508108,Buritama,2024,0,0,0,0
3508108,Buritama,2025,0,0,0,0
3508207,Buritizal,2022,0,1,0,1
3508207,Buritizal,2023,0,0,0,0
3508207,Buritizal,2024,0,0,0,0
3508207,Buritizal,2025,0,0,0,0
3508306,Cabrália Paulista,2022,0,0,0,0
3508306,Cabrália Paulista,2023,0,0,0,0
3508306,Cabrália Paulista,2024,1,0,0,1
3508306,Cabrália Paulista,2025,0,0,0,0
3508405,Cabreúva,2022,0,1,0,1
3508405,Cabreúva,2023,0,0,0,0
3508405,Cabreúva,2024,0,0,0,0
3508405,Cabreúva,2025,0,0,0,0
3508504,Caçapava,2022,0,1,0,1
3508504,Caçapava,2023,2,0,0,2
3508504,Caçapava,2024,1,0,0,1
3508504,Caçapava,2025,0,0,0,0
3508603,Cachoeira Paulista,2022,0,0,0,0
3508603,Cachoeira Paulista,2023,0,0,0,0
3508603,Cachoeira Paulista,2024,0,0,0,0
3508603,Cachoeira Paulista,2025,0,0,0,0
3508702,Caconde,2022,0,0,0,0
3508702,Caconde,2023,1,1,0,2
3508702,Caconde,2024,1,0,0,1
3508702,Caconde,2025,0,0,0,0
3508801,Cafelândia,2022,0,2,0,2
3508801,Cafelândia,2023,0,0,0,0
3508801,Cafelândia,2024,0,0,0,0
3508801,Cafelândia,2025,0,0,0,0
3508900,Caiabu,2022,0,0,0,0
3508900,Caiabu,2023,0,0,0,0
3508900,Caiabu,2024,0,0,0,0
3508900,Caiabu,2025,0,0,0,0
3509007,Caieiras,2022,0,0,0,0
3509007,Caieiras,2023,0,1,0,1
3509007,Caieiras,2024,0,2,0,2
3509007,Caieiras,2025,0,0,0,0
3509106,Caiuá,2022,0,0,0,0
