id_municipio,municipio,ano,n_consumado,n_total,n_tentativa,taxa_feminicidio_consumado_100k,taxa_feminicidio_total_100k,populacao,pib_per_capita_2022,taxa_alfabetizacao,anos_medios_estudo,pct_ensino_medio,pct_ensino_superior,taxa_urbanizacao_pct,taxa_saneamento_basico_pct,taxa_trafico_drogas_100k
3502200,Angatuba,2024,0,0,0,0.0,0.0,24512,69168.115560736,0.9584566651087916,9.2,0.4770862955266324,0.1337635349447664,70.6110914871,83.4216413517,81.59268929503916
3502200,Angatuba,2025,0,1,1,0.0,4.069507182680177,24573,69168.115560736,0.9584566651087916,9.2,0.4770862955266324,0.1337635349447664,70.6110914871,83.4216413517,40.69507182680178
3502309,Anhembi,2022,0,1,1,0.0,17.624250969333804,5674,30244.383856186112,0.9436056838365896,8.5,0.4019839395370808,0.1228153046764289,82.0837390458,78.8218111003,246.73951357067327
3502309,Anhembi,2023,0,0,0,0.0,0.0,5674,30244.383856186112,0.9436056838365896,8.5,0.4019839395370808,0.1228153046764289,82.0837390458,78.8218111003,88.12125484666902
3502309,Anhembi,2024,0,0,0,0.0,0.0,5766,30244.383856186112,0.9436056838365896,8.5,0.4019839395370808,0.1228153046764289,82.0837390458,78.8218111003,17.34304543877905
3502309,Anhembi,2025,0,0,0,0.0,0.0,5766,30244.383856186112,0.9436056838365896,8.5,0.4019839395370808,0.1228153046764289,82.0837390458,78.8218111003,69.3721817551162
3502408,Anhumas,2022,0,0,0,0.0,0.0,4023,25041.02933134477,0.9435975609756098,9.6,0.5024046168643796,0.1510099390830394,84.8075624578,85.3477380149,0.0
3502408,Anhumas,2023,0,0,0,0.0,0.0,4023,25041.02933134477,0.9435975609756098,9.6,0.5024046168643796,0.1510099390830394,84.8075624578,85.3477380149,24.857071836937607
3502408,Anhumas,2024,0,0,0,0.0,0.0,4108,25041.02933134477,0.9435975609756098,9.6,0.5024046168643796,0.1510099390830394,84.8075624578,85.3477380149,24.342745861733203
3502408,Anhumas,2025,0,0,0,0.0,0.0,4118,25041.02933134477,0.9435975609756098,9.6,0.5024046168643796,0.1510099390830394,84.8075624578,85.3477380149,24.283632831471586
3502507,Aparecida,2022,0,0,0,0.0,0.0,32569,35168.79907273788,0.9703348927006756,10.2,0.5765741315136477,0.1634615384615384,98.1080605421,98.5304470257,245.63234978046611
3502507,Aparecida,2023,0,0,0,0.0,0.0,32569,35168.79907273788,0.9703348927006756,10.2,0.5765741315136477,0.1634615384615384,98.1080605421,98.5304470257,227.20992354693112
3502507,Aparecida,2024,0,0,0,0.0,0.0,33223,35168.79907273788,0.9703348927006756,10.2,0.5765741315136477,0.1634615384615384,98.1080605421,98.5304470257,297.9863347680824
3502507,Aparecida,2025,0,1,1,0.0,3.017410458344649,33141,35168.79907273788,0.9703348927006756,10.2,0.5765741315136477,0.1634615384615384,98.1080605421,98.5304470257,147.85311245888778
3502606,Aparecida d'Oeste,2022,0,0,0,0.0,0.0,4086,41166.496573666176,0.9178674351585014,8.6,0.4073741007194245,0.1208033573141486,80.2599009901,83.7871287129,122.36906510034262
3502606,Aparecida d'Oeste,2023,0,0,0,0.0,0.0,4086,41166.496573666176,0.9178674351585014,8.6,0.4073741007194245,0.1208033573141486,80.2599009901,83.7871287129,73.42143906020557
3502606,Aparecida d'Oeste,2024,0,0,0,0.0,0.0,4124,41166.496573666176,0.9178674351585014,8.6,0.4073741007194245,0.1208033573141486,80.2599009901,83.7871287129,121.24151309408343
3502606,Aparecida d'Oeste,2025,0,0,0,0.0,0.0,4112,41166.496573666176,0.9178674351585014,8.6,0.4073741007194245,0.1208033573141486,80.2599009901,83.7871287129,72.95719844357977
3502705,Apiaí,2022,0,0,0,0.0,0.0,24585,39956.323774659344,0.9400762388818298,8.9,0.4791632708503124,0.108774789459386,78.0888687372,80.6393108139,48.810250152532035
3502705,Apiaí,2023,0,0,0,0.0,0.0,24585,39956.323774659344,0.9400762388818298,8.9,0.4791632708503124,0.108774789459386,78.0888687372,80.6393108139,85.41793776693106
3502705,Apiaí,2024,1,2,1,4.018323555412682,8.036647110825363,24886,39956.323774659344,0.9400762388818298,8.9,0.4791632708503124,0.108774789459386,78.0888687372,80.6393108139,88.403118219079
3502705,Apiaí,2025,0,0,0,0.0,0.0,24857,39956.323774659344,0.9400762388818298,8.9,0.4791632708503124,0.108774789459386,78.0888687372,80.6393108139,148.8514301806332
3502754,Araçariguama,2022,0,2,2,0.0,9.292816652727442,21522,238307.7424960505,0.9493128681063716,9.0,0.4232133806386214,0.1039026862645717,87.7821327206,79.0512231383,78.98894154818325
3502754,Araçariguama,2023,2,3,1,9.292816652727442,13.939224979091165,21522,238307.7424960505,0.9493128681063716,9.0,0.4232133806386214,0.1039026862645717,87.7821327206,79.0512231383,102.22098318000187
3502754,Araçariguama,2024,1,1,0,4.511006856730422,4.511006856730422,22168,238307.7424960505,0.9493128681063716,9.0,0.4232133806386214,0.1039026862645717,87.7821327206,79.0512231383,85.70913027787803
3502754,Araçariguama,2025,0,1,1,0.0,4.481491440351348,22314,238307.7424960505,0.9493128681063716,9.0,0.4232133806386214,0.1039026862645717,87.7821327206,79.0512231383,89.62982880702698
3502804,Araçatuba,2022,0,1,1,0.0,0.4996901920809098,200124,51474.11793188223,0.9739814041266732,10.6,0.6204860108699746,0.2183095055793344,98.3927790778,97.3050119577,207.8711199056585
3502804,Araçatuba,2023,1,2,1,0.4996901920809098,0.9993803841618196,200124,51474.11793188223,0.9739814041266732,10.6,0.6204860108699746,0.2183095055793344,98.3927790778,97.3050119577,132.91759109352202
3502804,Araçatuba,2024,0,3,3,0.0,1.443869570448803,207775,51474.11793188223,0.9739814041266732,10.6,0.6204860108699746,0.2183095055793344,98.3927790778,97.3050119577,127.06052219949464
3502804,Araçatuba,2025,0,1,1,0.0,0.4798119137298179,208415,51474.11793188223,0.9739814041266732,10.6,0.6204860108699746,0.2183095055793344,98.3927790778,97.3050119577,159.29755535829955
3502903,Araçoiaba da Serra,2022,0,0,0,0.0,0.0,32443,37470.97062540455,0.9700507802364802,10.3,0.5907249508082874,0.1870442532505112,88.7926642894,84.8446255731,52.39959313257096
3502903,Araçoiaba da Serra,2023,0,0,0,0.0,0.0,32443,37470.97062540455,0.9700507802364802,10.3,0.5907249508082874,0.1870442532505112,88.7926642894,84.8446255731,61.64658015596584
3502903,Araçoiaba da Serra,2024,0,0,0,0.0,0.0,33656,37470.97062540455,0.9700507802364802,10.3,0.5907249508082874,0.1870442532505112,88.7926642894,84.8446255731,112.9070596624673
3502903,Araçoiaba da Serra,2025,0,0,0,0.0,0.0,33832,37470.97062540455,0.9700507802364802,10.3,0.5907249508082874,0.1870442532505112,88.7926642894,84.8446255731,44.33672262946323
3503000,Aramina,2022,0,0,0,0.0,0.0,5420,31835.79815498155,0.9505840071877808,9.2,0.4654323880946801,0.1246777595500351,94.8051948052,93.6563436563,0.0
3503000,Aramina,2023,0,0,0,0.0,0.0,5420,31835.79815498155,0.9505840071877808,9.2,0.4654323880946801,0.1246777595500351,94.8051948052,93.6563436563,36.90036900369004
3503000,Aramina,2024,0,0,0,0.0,0.0,5526,31835.79815498155,0.9505840071877808,9.2,0.4654323880946801,0.1246777595500351,94.8051948052,93.6563436563,0.0
3503000,Aramina,2025,0,0,0,0.0,0.0,5535,31835.79815498155,0.9505840071877808,9.2,0.4654323880946801,0.1246777595500351,94.8051948052,93.6563436563,162.60162601626016
3503109,Arandu,2022,0,0,0,0.0,0.0,6885,27441.020188816263,0.9367480860371856,8.5,0.4399316758398178,0.0694628961852344,82.3751573647,77.8850188838,14.524328249818446
3503109,Arandu,2023,0,0,0,0.0,0.0,6885,27441.020188816263,0.9367480860371856,8.5,0.4399316758398178,0.0694628961852344,82.3751573647,77.8850188838,43.57298474945534
